,Sentiment,Sentiment Num,Multi,Prediction,Text,Correct2_A,Correct5_A,Correct2_B,Correct5_B,Correct2_C,Correct5_C,Correct2_D,Correct5_D
74,Negative,-1,-2,-1,    Absorbing  and  disturbing   --   perhaps    more   disturbing   than   originally  intended  --   but   a   little  clarity    would   have   gone   a   long  way  .,yes,yes,yes,yes,yes,no,yes,yes
76,Positive,1,1,1,"    Painful   to  watch  ,  but    viewers   willing   to   take   a  chance   will   be   rewarded   with   two   of      the   year  's   most  accomplished  and   riveting   film  performances  .",yes,yes,yes,yes,yes,no,yes,yes
79,Positive,1,1,1," While    The  Isle   is   both    preposterous  and   thoroughly  misogynistic   ,    its  vistas    are   incredibly   beautiful   to   look  at  .",yes,yes,yes,yes,yes,yes,no,no
81,Positive,1,1,1," In   the  process   ,   they    demonstrate   that   there    's  still    a  lot   of   life   in   Hong   Kong  cinema  .",yes,yes,yes,yes,no,no,yes,yes
104,Positive,1,2,1, The  film   is   often    filled   with    a  sense   of   pure    wonderment  and  excitement   not   often   seen   in    today  's   cinema   du  sarcasm,yes,yes,yes,yes,yes,no,yes,yes
105,Positive,1,1,1,"    It   might   be   tempting   to    regard     Mr.  Andrew  and   his  collaborators   as  oddballs  ,  but     Mr.   Earnhart  's    quizzical   ,  charming  movie   allows   us   to       see  them  , finally ,   as  artists  .",yes,yes,yes,yes,yes,no,yes,yes
107,Positive,1,1,1,"   Edited  and  shot   with    a   syncopated  style   mimicking    the  work   of   his  subjects   ,   Pray      turns    the  idea   of    the  documentary   on   its  head  ,   making   it    rousing ,  invigorating   fun   lacking   any   MTV  puffery  .",yes,yes,yes,yes,yes,no,yes,yes
110,Neutral,0,0,-1,"    Hip-hop   has   a  history  ,  and   it   's    a  metaphor   for   this   love  story  .",yes,yes,yes,yes,yes,no,yes,yes
111,Positive,1,2,1," In   scope   ,    ambition  and  accomplishment   ,    Children   of   the  Century   ...     takes    Kurys  '  career   to   a   whole   new  level  .",yes,yes,yes,yes,yes,no,yes,yes
113,Neutral,0,0,0, Between    the  drama   of  Cube  ?,yes,yes,yes,yes,yes,no,yes,yes
115,Positive,1,1,1,"  A   gentle   ,   compassionate  drama   about    grief  and  healing  .",yes,yes,yes,yes,yes,no,yes,yes
116,Negative,-1,-2,-1,"  Somewhere  short     of   Tremors   on     the   modern  B-scene  :     neither   as  funny  nor   as  clever  ,  though    an  agreeably     unpretentious  way   to   spend   ninety  minutes  .",yes,yes,yes,yes,yes,no,yes,yes
117,Positive,1,1,1,  Digital-video  documentary   about   stand-up  comedians    is    a   great  glimpse   into   a    very  different  world  .,yes,yes,yes,yes,yes,no,yes,yes
122,Positive,1,2,-1,  A   classy  item   by    a  legend   who   may   have   nothing   left   to  prove    but     still   has   the  chops  and   drive   to   show   how   its  done  .,yes,yes,yes,yes,yes,no,yes,yes
125,Positive,1,1,1,"   It     's  not  exactly   a   gourmet  meal  but    the  fare     is  fair  ,   even   coming   from   the  drive-thru  .",yes,yes,yes,yes,no,no,yes,yes
127,Positive,1,1,1," Merely   as   a   technical   ,   logistical  feat   ,    Russian  Ark    marks   a   cinematic  milestone  .",yes,yes,yes,yes,yes,no,yes,yes
132,Positive,1,1,1,   An   original  gem   about   an  obsession   with  time  .,yes,yes,yes,yes,yes,no,yes,yes
133,Positive,1,2,1,It    will    delight  newcomers   to     the  story  and   those   who    know  it   from   bygone  days  .,yes,yes,yes,yes,yes,no,yes,yes
134,Positive,1,1,-1,Gloriously   goofy      -LRB-  and  gory  -RRB-    midnight  movie   stuff  .,yes,yes,yes,yes,yes,no,yes,yes
135,Positive,1,2,1, The  film     overcomes    the   regular  minefield   of   coming-of-age  cliches   with    potent  doses   of    honesty  and  sensitivity  .,yes,yes,yes,yes,yes,no,yes,yes
139,Positive,1,1,-1," As   lo-fi   as    the   special  effects  are   ,     the  folks   who  cobbled     Nemesis  together     indulge    the  force   of  humanity   over   hardware   in   a  way   that    George  Lucas  (2 (2 has long  forgotten  .",yes,yes,yes,yes,yes,no,yes,yes
142,Positive,1,1,1,"It     's        a  hoot  and   a  half  ,  and    a   great  way   for   the   American  people   to   see   what    a  candidate   is   like   when   he    's  not   giving   the   same  -15cent stump speech  .",yes,yes,yes,yes,yes,no,yes,yes
145,Positive,1,2,1,"    Waydowntown   is   by    no  means   a   perfect  film  ,  but   its     boasts   a   huge   charm  factor  and   smacks   of  originality  .",yes,yes,yes,yes,yes,no,yes,yes
146,Positive,1,2,-1," Tim  Allen      is   great   in   his  role  but   never    hogs   the  scenes   from     his   fellow  cast  ,   as   there   are     plenty   of  laughs  and    good  lines   for   everyone   in this comedy  .",yes,yes,yes,yes,yes,no,yes,yes
148,Positive,1,1,1," Enormously  likable   ,    partly   because   it   is   aware   of    its   own  grasp   of   the  absurd  .",yes,yes,yes,yes,yes,no,yes,yes
149,Positive,1,1,1,"Here       's   a   British  flick  gleefully      unconcerned   with  plausibility  ,  yet   just   as  determined   to   entertain  you  .",yes,yes,yes,yes,yes,no,yes,yes
150,Positive,1,1,1,"    It   's   an   old  story  ,  but         a   lively  script  ,   sharp  acting  and  partially   animated  interludes   make   Just    a  Kiss   seem   minty  fresh  .",yes,yes,yes,yes,yes,no,yes,yes
152,Negative,-1,-2,-1,"    Ray   Liotta   and   Jason  Patric      do   some   of    their   best  work   in   their   underwritten  roles  ,  but    do  n't   be  fooled  :   Nobody    deserves   any  prizes  here  .",yes,yes,yes,yes,yes,no,yes,yes
156,Negative,-1,-2,-1,"     Its  mysteries   are   transparently  obvious  ,  and   it    's   too  slowly   paced   to   be   a  thriller  .",yes,yes,yes,yes,yes,no,yes,yes
158,Positive,1,1,1,"     The  film      is  faithful   to   what    one  presumes   are    the   book  's   twin  premises  --   that   we   become   who   we   are   on    the  backs   of   our  parents  ,  but  (2 we  have    no  idea      who   they   were   at   our  age  ;  and   that   time    is   a   fleeting   and   precious  commodity   no   matter    how  old   you  are  .",yes,yes,yes,yes,yes,no,yes,yes
162,Positive,1,1,1,"    There   are    as   many   misses   as  hits    ,  but  ultimately   ,    it    finds  humor   in    the  foibles   of   human  behavior  ,  and   it   's    a   welcome  return   to    the roots  of   a  genre   that   should   depend   on  surprises  .",yes,yes,yes,yes,yes,no,yes,yes
163,Positive,1,2,1,   A   well-made  thriller   with   a   certain  level   of   intelligence   and   non-reactionary  morality  .,yes,yes,yes,yes,yes,no,yes,yes
165,Neutral,0,0,1,"Remains     a     solid   ,   if   somewhat   heavy-handed  ,  account   of   the  near-disaster   ...     done  up   by  Howard   with   a    steady   ,   if   not   very   imaginative  ,  hand  .",yes,yes,yes,yes,yes,no,yes,yes
166,Positive,1,1,1,Makmalbaf     follows    a    resolutely  realistic  path   in   this   uncompromising  insight   into    the   harsh  existence   of    the   Kurdish  refugees   of    Iran  's  borderlands  .,yes,yes,yes,yes,no,no,yes,yes
167,Positive,1,1,1," For    a   good  chunk   of   its   running  time   ,   Trapped    is   an     effective  and  claustrophobic  thriller  .",yes,yes,yes,yes,yes,no,yes ,yes
169,Positive,1,1,1,Nair    does   capture    the  complexity   of     a   big  family  and   its    trials  and  tribulations  ...,yes,yes,yes,yes,no,no,yes,yes
171,Positive,1,2,1,Rare    is    the   `   urban   comedy  '   that   even   attempts    the    insight  and  honesty   of   this   disarming  indie  .,yes,yes,yes,yes,yes,no,yes,yes
173,Positive,1,2,1,Engagingly    captures       the  maddening  and   magnetic  ebb  and   flow   of  friendship  .,yes,yes,yes,yes,yes,no,yes,yes
174,Positive,1,1,-1,  An  experience   so   engrossing  it    is   like   being   buried   in   a   new  environment  .,yes,yes,yes,yes,yes,no,yes,yes
175,Positive,1,2,1,"    It    's  traditional   moviemaking   all   the  way  ,  but   it   's   done   with    a  lot   of     careful   period  attention   as   well  as   some   very   welcome  wit  .",yes,yes,yes,yes,yes,no,yes,yes
180,Negative,-1,-1,1,"  Watching   Haneke  's  film       is  ,   aptly  enough  ,     a  challenge  and   a  punishment  .",yes,yes,yes,yes,yes,no,yes,yes
181,Positive,1,2,1,"But       watching  Huppert  ,    a   great  actress   tearing   into   a   landmark  role  ,    is  riveting  .",yes,yes,yes,yes,yes,no,yes,yes
182,Positive,1,1,1,  A   cop  story   that   understands   the  medium    amazingly  well  .,yes,yes,yes,yes,yes,no,yes,yes
183,Positive,1,1,1,"Britney    has   been     delivered   to    the   big  screen    safe  and  sound  ,    the  way   we    like   our   20-year-old   superstar  girls   to   travel   on   the   fame  freeway  .",yes,yes,yes,yes,yes,yes,no,no
198,Positive,1,1,-1,"  Solid  ,    lump-in-the-throat   family  entertainment   that    derives   its  power   by   sticking   to   the  facts  .",yes,yes,yes,yes,no,no,yes,yes
209,Positive,1,1,-1, A  thoughtful    look   at    a   painful  incident   that    made  headlines   in  1995  .,yes,yes,yes,yes,yes,yes,no,no
246,Neutral,0,0,1,But   you     'll  definitely   want   the  T-shirt  .,yes,yes,yes,yes,no,no,yes,yes
249,Positive,1,1,1,  Presents    an   astute  appraisal   of     Middle   American   musical  torpor  and   the   desperate  struggle   to   escape  it  .,yes,yes,yes,yes,yes,yes,no,no
250,Neutral,0,0,1,"  Just  what   makes   us  happy   ,   anyway  ?",yes,yes,yes,yes,no,no,yes,yes
270,Neutral,0,0,1,``    its  successes      are  also   tempered   with   elements   which   prove    the   direct  antithesis   of   what   it   gets  right  .  '',yes,yes,yes,yes,yes,yes,no,no
286,Positive,1,1,-1,"     Who   knows   what  exactly   Godard   is   on   about   in   this  film  ,  but    his    words  and  images    do  n't   have   to    add  up   to   mesmerize  you  .",yes,yes,yes,yes,yes,yes,no,no
290,Positive,1,1,1, What   's    most  striking   about   this    largely  celebratory  film   ...     is     the  sense   of  isolation   that   permeates    these  bastions   of  individuality   in   an   Ikea  world  .,yes,yes,yes,yes,no,no,yes,yes
339,Positive,1,1,1," Compelling   revenge  thriller   ,   though    somewhat   weakened   by   a   miscast   leading  lady  .",yes,yes,yes,yes,no,no,yes,yes
347,Neutral,0,0,1,   Is   office  work   really  as   alienating   as    `    Bartleby  '  so   effectively   makes  it  ?,yes,yes,yes,yes,no,no,yes,yes
368,Positive,1,1,1, Star  Wars     is  back   in   a   major  way  .,yes,yes,yes,yes,yes,yes,no,no
445,Positive,1,2,1," Ranging   from   funny   to     shattering  and  featuring   some   of    the   year  's   best  acting   ,    Personal  Velocity    gathers   plenty   of   dramatic  momentum  .",yes,yes,yes,yes,yes,yes,yes,yes
446,Positive,1,2,-1,"    I    complain   all   the  time   about   seeing    the   same  ideas     repeated   in  films    over  and  over  again  ,  but    The   Bourne  Identity   proves   that    a   fresh  take   is always  possible  .",yes,yes,yes,yes,yes,yes,yes,yes
448,Positive,1,2,1,"     Only   an   epic  documentary   could    get  it   all  down  ,  and    Spike  Lee   's     Jim  Brown  :    All  American     at  long  last    gives   its  subject    a   movie  worthy   of (2  his (3 talents  .",yes,yes,yes,yes,yes,yes,yes,yes 
449,Positive,1,2,-1,...    as   the   story  congeals   you    feel     the  pieces   of   the   Star   Wars  saga    falling   into  place   in    a  way   that    makes   your   spine  tingle   with    revelation  and  excitement  .,yes,yes,yes,yes,yes,yes,yes,yes
451,Positive,1,1,1,    Tim  Story    's  not   there  yet  -   but   `   Barbershop   '   shows   he   's   on   his  way  .,yes,yes,yes,yes,no,no,yes,yes
452,Positive,1,2,-1, The  movie    is   one   of    the   best  examples   of    artful   Large  Format   filmmaking   you   are   likely   to   see   anytime  soon  .,yes,yes,yes,yes,yes,yes,yes  ,yes 
453,Neutral,0,0,-1,"  Lends  itself   to    the     narcotizing  bland   -LRB-   sinister   ,    though   not     nearly   so  sinister   as   the   biennial   Disney  girl  movie  -RRB-  machinations   of   the   biennial   Disney boy movie  .",yes,yes,yes,yes,yes,yes,yes,yes
454,Positive,1,2,1,"Well-written   ,        nicely  acted  and   beautifully  shot  and  scored   ,    the  film       works   on   several  levels  ,  openly    questioning   social  mores   while    ensnaring   the  audience   with its  emotional  pull  .",yes,yes,yes,yes,yes,yes,yes,yes
458,Positive,1,1,-1,"   it   sounds    sick  and  twisted  ,  but     the  miracle   of    Shainberg  's  film   is   that   it   truly   is  romance",yes,yes,yes,yes,yes,yes,yes,yes
459,Positive,1,2,-1,   Disturbing  and  brilliant  documentary  .,yes,yes,yes,yes,yes,yes,yes,yes
460,Positive,1,2,1,"...      mesmerizing  ,     an   eye-opening  tour   of   modern   Beijing  culture   in    a  journey   of  rebellion  ,    retreat   into    oblivion  and  return  .",yes,yes,yes,yes,yes,yes,yes ,yes 
462,Positive,1,1,1,  Not   too  far   below   the  gloss   you     can  still   feel      director   Denis   Villeneuve  's   beating  heart  and    the  fondness   he   has   for   his  characters  .,yes,yes,yes,yes,yes,yes,yes,yes
464,Negative,-1,-1,-1, Her  film    is   unrelentingly    claustrophobic  and  unpleasant  .,no,no,yes,yes,yes,yes,yes,yes
469,Neutral,0,0,0,"  Bourne  ,   Jason  Bourne  .",yes,yes,yes,yes,no,no,yes,yes
470,Neutral,0,0,1,"     He   can    scale   a  building   like   a   super  hero  ,   he   can   out-stealth   any  agent  ,   he   'll   get   the  girl  .",yes,yes,yes,yes,no,no,yes,yes
474,Positive,1,1,1,"      The  pleasures   of   Super  Troopers   may   be  fleeting  ,  but   they   'll    register  strongly   with   anybody   who   still   retains    a   soft  spot   for   precollegiate  humor  .",yes,yes,yes,yes,yes,yes,yes,yes
475,Positive,1,2,1," The  film    is   exhilarating   to   watch   because      Sandler  ,   liberated   from    the  constraints   of  formula  ,    reveals   unexpected  depths   as   an  actor  .",yes,yes,yes,no,yes,yes,yes,yes
479,Positive,1,1,1,"    Sound  the  trumpets  :    For    the   first  time   since   Desperately   Seeking  Susan   ,   Madonna    does  n't   suck   as   an  actress  .",yes,yes,yes,yes,yes,yes,no,no
480,Positive,1,1,1," Although    very  much   like    the   first  movie   based   on    J.K.   Rowling  's   phenomenal   fantasy   best  sellers   ,    this   second  go-round    possesses     a    quite  pleasing   ,   headlong thrust  and   a    likably  delinquent  attitude  .",yes,yes,yes,yes,yes,yes,yes,yes
481,Positive,1,2,-1," As    the  story    moves  inexorably   through   its   seven   day  timeframe   ,    the  picture    becomes   increasingly  mesmerizing  .",yes,yes,no,no,yes,yes,yes,yes
482,Positive,1,1,1,Maguire    is   a    surprisingly  effective  Peter\/Spider-Man  .,yes,yes,yes,yes,yes,yes,yes,yes
483,Positive,1,1,1,"     Not   a     cozy  or  ingratiating  work   ,   but   it   's       challenging  ,   sometimes  clever  ,  and   always  interesting  ,  and   those   are    reasons  enough   to   see  it  .",yes,yes,yes,yes,yes,yes,yes,yes
484,Positive,1,1,1, The  film    runs   on      equal  parts   of    innocence  and  wisdom  --   wisdom   that   comes   with  experience  .,yes,yes,yes,yes,yes,yes,yes,yes
485,Positive,1,1,1,It    has   fun   being   grown  up  .,yes,yes,yes,yes,yes,yes,yes,yes
487,Positive,1,2,1,"Rarely    do   films    come  along    that     are   as  intelligent  ,  exuberant    ,  and   moving   as   Monsoon  Wedding  .",yes,yes,yes,no,yes,yes,yes,yes
488,Positive,1,1,1,One   scarcely    needs    the  subtitles   to   enjoy   this   colorful   action  farce  .,yes,yes,yes,yes,no,no,yes,yes
489,Positive,1,1,1, Quite  funny    for    the  type   of   movie   it  is  ...,yes,yes,yes,yes,yes,yes,yes,yes
492,Neutral,0,0,1," This   boisterous  comedy     serves  up    a   cruel  reminder   of    the  fate   of    hundreds   of  thousands   of    Chinese  ,   one   which    can  only   qualify   as   a   terrible  tragedy (2 .",yes,yes,no,no,yes,yes,yes,yes
493,Positive,1,1,1,"     Elling  really   is    about   a  couple   of   crazy  guys  ,  and   it   's   therapeutic   to    laugh  along   with  them  .",yes,yes,yes,yes,yes,yes,yes,yes
494,Positive,1,2,1,  An   irresistible  combination   of   a   rousing   good  story    set   on   a   truly   grand  scale  .,yes,yes,yes,yes,yes,yes,yes,yes
495,Positive,1,2,1,There    's   no   denying       the    physically  spectacular  qualities   of   the  film  ...  or    the   emotional  integrity   of   the  performances  .,yes,yes,yes,yes,yes,yes,yes,yes
496,Positive,1,2,-1, Few  films    this  year    have    been   as  resolute   in   their   emotional  nakedness  .,yes,yes,yes,yes,yes,yes,no,no
498,Neutral,0,0,-1,"     Stevenson  's  performance   is      at  once  clueless  and   fiercely  committed  ,   a   volatile  combination  .",yes,yes,yes,yes,yes,yes,yes,yes
499,Positive,1,2,1,This    is   a    very  fine    movie  --   go   see  it  .,yes,yes,yes,yes,yes,yes,yes,yes
500,Positive,1,1,-1," As    shaky   as   the  plot  is   ,     Kaufman  's  script     is  still   memorable   for   some   great  one-liners  .",yes,yes,yes,yes,yes,yes,yes,yes
501,Positive,1,1,-1," Despite   its  flaws   ,   Secretary      stays   in   your  head  and   makes   you   question   your   own    firmly  held  positions  .",yes,no,yes,yes,yes,yes,yes,yes
502,Positive,1,2,1," One   of   those    rare   ,  exhilarating  cinematic    delights   that     gets    even  better   in  hindsight  ,   as   you   mull   over   its    every  nuance   in   your  mind  .",yes,no,yes,yes,yes,yes,yes,yes
503,Positive,1,1,1,"     Not  everything  works  ,  but    the  average   is   higher   than      in  Mary  and   most  other   recent  comedies  .",yes,yes,yes,yes,yes,yes,yes,yes
504,Positive,1,1,1,  A   byzantine  melodrama  that    stimulates     the   higher   brain  functions   as   well  as   the  libido  .,yes,yes,yes,yes,yes,yes,yes,yes
505,Positive,1,2,1, A    sensitive  and  expertly    acted   crowd-pleaser   that    is  n't   above     a    little  broad  comedy  and   a   few    unabashedly  sentimental  tears  .,yes,yes,yes,yes,yes,yes,yes,yes
506,Positive,1,1,1,"   The   film  's   sharp   ,    often  mischievous  sense   of  humor    will    catch  some   off  guard  ...",yes,yes,yes,yes,yes,yes,yes,yes
507,Positive,1,2,1,"   Does   what    a   fine  documentary   does  best  :   It        extends   a   warm  invitation   into   an   unfamiliar  world  ,   then    illuminates  it  fully  and    allows    the   larger  implications  of  the  journey   to   sink   in  unobtrusively  .",yes,yes,yes,yes,yes,yes,yes,yes
508,Positive,1,2,1,"  Almost   every  scene   in   this  film    is      a  gem   that   could   stand  alone  ,    a    perfectly  realized  observation   of   mood   ,    behavior  and  intent  .",yes,yes,yes,yes,yes,yes,yes,yes
509,Positive,1,1,1,  A    psychologically    rich  and  suspenseful   moral  thriller   with    a   stellar  performance   by   Al  Pacino  .,yes,yes,yes,yes,yes,yes,yes,yes
511,Positive,1,1,1,"     This  version   's    no  classic   like   its  predecessor  ,  but    its  pleasures    are  still  plentiful  .",no,no,yes,yes,yes,yes,yes,yes
513,Positive,1,2,1,  Provide      -LRB-   s  -RRB-   nail-biting  suspense  and   credible  characters   without   relying   on   technology-of-the-moment   technique   or   pretentious  dialogue  .,yes,yes,yes,yes,yes,yes,yes,no
514,Positive,1,1,1,"     If   it   tried   to    do  anything  more   ,   it   would     fail  and  perhaps  explode  ,  but    at    this  level   of   manic  whimsy   ,   it    is  just   about  right  .",yes,yes,yes,yes,no,no,yes,yes
516,Negative,-1,-2,1,  The   saturation  bombing   of       Reggio  's  images  and    Glass  '   evocative  music  ...   ultimately     leaves  viewers   with    the  task   of   divining  meaning  .,yes,yes,yes,yes,yes,yes,yes ,no
517,Positive,1,1,1, For   all    its   serious  sense   of  purpose   ...    -LRB-   it  -RRB-    finds   a   way   to   lay   bare    the  tragedies   of    its  setting   with    a   good  deal   of    warmth  and  humor  .,yes,no,yes,yes,yes,yes,yes,yes
518,Negative,-1,-1,-1,"     A   depressing  confirmation   of   everything    those   of  us   who    do  n't   object   to   the   description   ``   unelected  ''   have   suspected   all  along  :    George   W.  Bush   is (1  (2 an  incurious   ,   uncharismatic   ,   overgrown   frat  boy   with     a   mean  streak   a  mile  wide  .",yes,no,yes,yes,yes,yes,yes,yes
519,Positive,1,2,1,"     This   road  movie    gives  you   emotional  whiplash  ,  and   you   'll   be   glad   you    went  along   for   the  ride  .",yes,yes,yes,no,yes,yes,yes,yes
523,Positive,1,1,1," Daughter   from  Danang    is    a  film   that   should      be   seen   by     all  ,  especially   those   who    are  n't   aware  of  ,  or   have   forgotten   about    the   unmentioned  victims of war  .",no,no,yes,yes,yes,yes,yes,yes
526,Positive,1,1,1,"...      both  hokey  and      super-cool  ,  and  definitely   not   in   a  hurry   ,    so       sit  back  ,  relax  and   have   a  few     laughs   while    the   little  ones   get   a (2 (3 fuzzy treat  .  '",yes,yes,yes,yes,yes,yes,yes,yes
527,Positive,1,1,1,A   pleasant   romantic   comedy  .,yes,yes,yes,yes,yes,yes,yes,yes
528,Neutral,0,0,1,It    's    a  Count   for   our  times  .,yes,yes,yes,yes,yes,yes,yes,yes
529,Positive,1,2,1,"Greengrass      has   delivered   an   undoubted   stylistic  tour-de-force  ,  and   has    managed   elements   such   as    sound  and  cinematography   with  skill",no,no,yes,yes,yes,yes,yes,yes
533,Negative,-1,-2,-1,"...     a   weak   ,   manipulative   ,   pencil-thin  story   that    is   miraculously  able   to   entertain  anyway  .",yes,yes,yes,no,yes,yes,yes,yes
535,Positive,1,1,1," For    the   first  two-thirds   of   this        sparklingly    inventive  and  artful  ,   always  fast  and  furious  tale   ,   kids    will    go  happily   along   for   the  ride  .",yes,yes,yes,yes,yes,yes,yes,yes
537,Positive,1,2,1,  The   smartest   bonehead  comedy   of   the  summer  .,yes,yes,yes,no,yes,yes,yes,yes
538,Positive,1,2,1,Effectively       feeds   our  senses   with   the   chilling  sights  and   sounds   from   within   the   camp   to   create   a    completely  numbing  experience  .,yes,yes,yes,yes,yes,yes,yes,yes
539,Positive,1,2,1,I     love   the  way   that   it     took  chances  and   really     asks   you   to   take    these   great  leaps   of  faith  and   pays  off  .,yes,no,yes,yes,yes,yes,yes,yes
540,Positive,1,2,1," In    his  debut   as   a   film  director   ,    Denzel  Washington    delivers   a     lean  and  engaging  work  .",no,no,yes,yes,yes,yes,yes,yes
541,Neutral,0,0,1,    Only   two  words   will    tell  you   what   you   know   when   deciding   to   see  it  :  Anthony  .,yes,yes,yes,yes,yes,yes,yes,yes
542,Neutral,0,0,0,Hopkins  .,yes,yes,yes,yes,yes,yes,yes,no
544,Positive,1,1,-1," A   teasing   drama    whose  relentless    good-deed\/bad-deed  reversals    are  just    interesting  enough   to   make   a  sinner    like   me   pray   for   an    even       more  interesting  ,   less  symmetrical ,  less   obviously  cross-shaped  creation  .",yes,yes,yes,yes,yes,yes,yes,yes
545,Positive,1,1,1,Hayek    is   stunning   as     Frida  and  ...   a   star-making  project  .,no,no,yes,yes,yes,yes,yes,yes
546,Positive,1,1,1,It    's   both     a   necessary   political  work  and   a   fascinating  documentary  ...,no,no,yes,yes,yes,yes,yes,yes
547,Positive,1,2,1,"  Hilarious  ,   acidic   Brit  comedy  .",yes,yes,yes,yes,yes,yes,yes,yes
548,Negative,-1,-2,1,"     As   a   revenge  thriller   ,    the  movie   is  serviceable  ,  but   it     does  n't  really   deliver    the    delicious  guilty  pleasure   of   the   better   film  versions  .",yes,yes,yes,yes,yes,yes,yes,yes
549,Neutral,0,0,-1,  An   ironic  speculation   on   democracy   in   a  culture    unaccustomed   to  it  .,yes,yes,yes,yes,yes,yes,yes,yes
551,Positive,1,2,1,  The   inherent  strength   of     the  material   as   well  as    the  integrity   of   the  filmmakers     gives   this   coming-of-age  story    restraint   as   well  as  warmth  .,no,no,yes,yes,yes,yes,yes,yes
552,Positive,1,1,1," Led   by      Griffin  's    smartly  nuanced  performance  and  enthusiasm   ,    the  cast    has    a  lot   of   fun   with   the  material  .",yes,yes,yes,yes,yes,yes,yes,yes
553,Positive,1,1,1, Tuck  Everlasting    achieves    a   delicate  balance   of     romantic  innocence  and   philosophical  depth  .,yes,yes,yes,yes,yes,yes,yes,yes
554,Positive,1,1,1,"  A   gentle  blend   of   present   day  testimonials   ,       surviving     footage   of  Burstein  and     his   family  performing  ,   historical  archives  ,  and   telling  stills  .",yes,yes,yes,yes,yes,yes,yes,yes
555,Negative,-1,-2,1," A   Generation  X     artifact  ,    capturing    a   brief  era   of  insanity   in    the   sports  arena   that   surely    can  not  last  .",yes,yes,yes,yes,yes,yes,yes,no
557,Neutral,0,0,0,Hmm  .,no,no,yes,yes,yes,yes,yes,yes
560,Positive,1,2,1,"  Having  never   been    a   huge  fan   of    Dickens  '   800-page  novel   ,   it     surprised  me     how  much  pleasure   I   had   watching    McGrath  's  version  .",yes,yes,yes,yes,yes,yes,yes ,yes
562,Positive,1,1,-1," For   all   its   failed  connections   ,     Divine  Secrets   of   the   Ya-Ya  Sisterhood      is  nurturing  ,   in     a  gauzy  ,   dithering  way  .",no,no,yes,yes,yes,yes,yes,yes
566,Positive,1,1,1,"  The   laser-projected  paintings   provide   a   spell-casting  beauty   ,    while     Russell  and  Dreyfus   are    a   romantic  pairing   of  hearts   ,   preciously     exposed   as   history  corners  them .",yes,yes,yes,yes,yes,yes,yes,yes
