Sentiment,Sentiment Num,Multi,Text
Positive,1,1,  An   idealistic   love  story  that     brings  out    the    latent  15-year-old  romantic   in  everyone  .
Positive,1,1," At    about  95  minutes   ,    Treasure  Planet     maintains    a   brisk  pace   as   it  races   through   the   familiar  story  ."
Negative,-1,-2,"However   ,   it    lacks    grandeur  and    that   epic  quality   often   associated     with    Stevenson  's  tale   as   well  as   with   earlier   Disney  efforts  ."
Positive,1,1,   It   helps   that    Lil  Bow  Wow  ...    tones   down   his   pint-sized  gangsta   act   to   play   someone   who   resembles   a   real  kid  .
Positive,1,2," Guaranteed   to   move   anyone   who   ever       shook  ,  rattled  ,  or  rolled  ."
Positive,1,2,"     A   masterful  film   from   a   master  filmmaker  ,   unique   in   its   deceptive  grimness  ,    compelling   in   its   fatalist  worldview  ."
Neutral,0,0,"  Light  ,    cute  and  forgettable  ."
Positive,1,1," If   there   's   a   way   to   effectively   teach   kids   about    the  dangers   of  drugs   ,   I    think   it   's   in   projects   like    the   -LRB-   unfortunately   R-rated  -RRB-  Paid ."
Positive,1,1," While   it   would   be   easy   to    give  Crush    the   new  title   of     Two  Weddings  and   a  Funeral   ,   it    's    a    far   more  thoughtful  film   than    any  slice   of Hugh Grant whimsy  ."
Negative,-1,-2," Though   everything   might   be    literate  and  smart   ,   it      never   took  off  and   always   seemed  static  ."
Positive,1,1,"Cantet   perfectly   captures        the   hotel  lobbies  ,   two-lane  highways  ,  and    roadside  cafes   that   permeate    Vincent  's  days"
Positive,1,1," Ms.  Fulford-Wierzbicki    is   almost   spooky   in   her   sulky   ,   calculating   Lolita  turn  ."
Positive,1,1," Though   it   is   by    no  means   his   best  work   ,   Laissez-Passer    is    a     distinguished  and  distinctive  effort   by     a   bona-fide  master  ,    a   fascinating  film   replete   with (3 (3 rewards  to  be   had   by   all   willing   to   make   the   effort   to   reap  them  ."
Negative,-1,-2," Like    most   Bond  outings   in   recent  years   ,    some   of   the  stunts    are   so   outlandish   that   they   border   on   being  cartoonlike  ."
Neutral,0,0,  A   heavy  reliance   on   CGI  technology    is   beginning   to   creep   into   the  series  .
Positive,1,2,"Newton        draws   our  attention   like   a  magnet  ,  and    acts  circles   around     her    better  known  co-star  ,   Mark  Wahlberg  ."
Negative,-1,-1, The  story     loses   its  bite   in    a   last-minute   happy  ending   that   's    even   less  plausible   than    the  rest   of   the  picture  .
Positive,1,2," Much   of   the  way   ,   though   ,   this    is   a    refreshingly  novel  ride  ."
Positive,1,2,Fuller     would  surely   have   called      this  gutsy  and   at    times  exhilarating  movie   a   great  yarn  .
Positive,1,1, The  film     makes    a   strong  case   for    the  importance   of   the  musicians   in   creating   the   Motown  sound  .
Neutral,0,0,"  Karmen  moves   like  rhythm   itself   ,    her  lips    chanting   to     the  beat  ,    her   long   ,   braided  hair    doing  little   to    wipe  away    the   jeweled  beads   of  sweat ."
Positive,1,2,Gosling    provides    an   amazing  performance   that   dwarfs    everything  else   in   the  film  .
Positive,1,1,"   A   real  movie  ,     about   real  people  ,   that     gives  us   a   rare  glimpse   into    a  culture    most   of  us    do  n't  know  ."
Positive,1,2, Tender     yet  lacerating  and   darkly   funny  fable  .
Positive,1,1,   May   be    spoofing        an   easy  target  --   those  old  '     50  's   giant  creature  features  --  but  ...   it      acknowledges  and  celebrates   their  cheesiness   as    the  reason (3 (2 why (2 people  get    a  kick   out   of    watching  them  today  .
Positive,1,1,  An   engaging  overview   of    Johnson  's   eccentric  career  .
Positive,1,1," In   its   ragged   ,   cheap   and   unassuming  way   ,    the  movie   works  ."
Positive,1,1, Some  actors     have   so  much   charisma   that   you   'd   be   happy   to   listen   to   them   reading   the   phone  book  .
Positive,1,2, Hugh   Grant   and   Sandra  Bullock    are   two   such   likeable  actors  .
Positive,1,1," Sandra  Nettelbeck   beautifully    orchestrates    the  transformation   of   the   chilly   ,    neurotic    ,  and  self-absorbed   Martha   as    her  heart   begins   to  open  ."
Positive,1,1," Behind     the   snow  games  and    lovable   Siberian  huskies   -LRB-    plus   one   sheep  dog  -RRB-   ,    the  picture    hosts    a   parka-wrapped  dose   of  heart  ."
Positive,1,1," Everytime   you   think    Undercover  Brother   has    run  out   of  steam   ,   it       finds   a   new  way   to  surprise  and  amuse  ."
Neutral,0,0,"Manages    to     be  original  ,   even   though   it    rips  off   many   of   its  ideas  ."
Positive,1,1,"   A   pleasant   enough  movie  ,    held  together   by   skilled   ensemble  actors  ."
Positive,1,1,This    is    the   best   American  movie   about    troubled  teens   since    1998  's  Whatever  .
Neutral,0,0,   Disney    has  always    been  hit-or-miss   when    bringing    beloved   kids  '  books   to   the  screen  ...    Tuck  Everlasting   is    a  little   of  both  .
Positive,1,1," The   animated   subplot  keenly    depicts      the   inner  struggles   of   our   adolescent  heroes  -   insecure   ,   uncontrolled    ,  and  intense  ."
Positive,1,1, The   invincible   Werner  Herzog   is    alive   and    well  and  living   in  LA
Neutral,0,0,"    Morton   is    a   great  actress   portraying   a   complex  character  ,  but    Morvern  Callar   grows    less  compelling    the  farther   it   meanders   from   its   shocking  start  ."
Negative,-1,-2, Son   of   the  Bride      may   be    a   good  half-hour   too  long  but    comes  replete   with    a   flattering  sense   of    mystery  and  quietness  .
Positive,1,1,  A   simmering   psychological  drama   in   which     the  bursts   of   sudden  violence   are    all   the  more   startling   for    the   slow  buildup   that   has   preceded  them  .
Positive,1,2,"   A  taut  ,   intelligent   psychological  drama  ."
Positive,1,2,"     A    truly  moving  experience  ,  and    a   perfect  example   of   how    art   --    when   done  right  --   can   help  heal  ,      clarify  ,  and  comfort  ."
Positive,1,2,"      This  delicately  observed  story  ,    deeply    felt  and  masterfully  stylized  ,    is    a  triumph   for   its   maverick  director  ."
Positive,1,2, At  heart    the  movie    is    a   deftly   wrought   suspense  yarn   whose    richer  shadings   work   as   coloring   rather   than  substance  .
Neutral,0,0,"    The  appearance   of  Treebeard  and    Gollum  's   expanded  role     will  either   have   you      loving   what   you   're  seeing  ,  or   rolling   your  eyes  ."
Positive,1,2,I    loved  it  !
Positive,1,2,  Gollum  's   `   performance  '    is  incredible  !
Positive,1,2,"  If    this  movie   were   a  book   ,   it   would   be   a  page-turner   ,   you     ca  n't   wait   to   see   what   happens  next  ."
Positive,1,1,Haneke    challenges   us   to   confront    the  reality   of   sexual  aberration  .
Negative,-1,-2,    Absorbing  and  disturbing   --   perhaps    more   disturbing   than   originally  intended  --   but   a   little  clarity    would   have   gone   a   long  way  .
Positive,1,2,"It    's      the   best  film   of    the  year   so  far  ,    the  benchmark   against   which    all   other   Best   Picture  contenders   should   be  measured  ."
Positive,1,1,"    Painful   to  watch  ,  but    viewers   willing   to   take   a  chance   will   be   rewarded   with   two   of      the   year  's   most  accomplished  and   riveting   film  performances  ."
Positive,1,1,"This    is    a   startling  film   that    gives  you    a   fascinating   ,    albeit  depressing  view   of    Iranian   rural   life  close   to   the   Iraqi  border  ."
Neutral,0,0,"  A   few  artsy   flourishes  aside   ,   Narc     is   as  gritty   as    a  movie   gets   these  days  ."
Positive,1,1," While    The  Isle   is   both    preposterous  and   thoroughly  misogynistic   ,    its  vistas    are   incredibly   beautiful   to   look  at  ."
Positive,1,2,"Together   ,     Tok  and  O    orchestrate    a   buoyant   ,   darkly   funny  dance   of  death  ."
Positive,1,1," In   the  process   ,   they    demonstrate   that   there    's  still    a  lot   of   life   in   Hong   Kong  cinema  ."
Positive,1,1,"     Director  Kapur   is    a  filmmaker   with    a   real  flair   for     epic  landscapes  and  adventure  ,  and   this   is    a   better  film   than     his   earlier   English-language  movie  , the  overpraised  Elizabeth  ."
Positive,1,2," The  movie      is    a  blast   of   educational  energy  ,   as    bouncy   animation   and   catchy  songs    escort  you   through   the   entire   85  minutes  ."
Positive,1,2,   A   sports  movie   with  action   that   's   exciting   on     the  field  and   a  story   you     care  about   off  it  .
Positive,1,2,"    Doug  Liman  ,    the  director   of  Bourne  ,           directs   the  traffic  well  ,    gets   a   nice   wintry  look   from   his  locations  ,    absorbs  us   with    the   movie  's spycraft  and   uses    Damon  's   ability   to   be    focused  and  sincere  ."
Positive,1,2,  The  tenderness   of   the  piece     is  still  intact  .
Positive,1,1," Katz   uses         archival  footage  ,    horrifying  documents   of  lynchings  ,   still  photographs  and     charming   old   reel-to-reel  recordings   of  Meeropol     entertaining   his  children   to   create (2 (2 his (2 song history    ,  but   most   powerful   of  all    is   the  song  itself"
Positive,1,1," Like     the   film  's   almost    anthropologically  detailed  realization   of    early  -   '80s  suburbia   ,   it    's   significant   without   being  overstated  ."
Negative,-1,-2, While     McFarlane  's  animation    lifts   the  film   firmly   above    the  level   of   other   coming-of-age  films   ...   it      's  also   so  jarring   that   it   's   hard   to    get  back into  the   boys  '  story  .
Positive,1,1," If   nothing  else   ,    this  movie    introduces    a   promising   ,   unusual  kind   of   psychological  horror  ."
Negative,-1,-1," In   a   normal   screen  process   ,    these  bromides    would   be   barely   enough   to    sustain   an   interstitial  program   on   the   Discovery  Channel  ."
Positive,1,1,"But    in   Imax  3-D   ,    the  clichés    disappear   into    the   vertiginous  perspectives    opened  up   by   the  photography  ."
Positive,1,1, Writer-director  Burger   imaginatively    fans     the  embers   of     a   dormant   national  grief  and  curiosity   that   has   calcified   into   chronic    cynicism  and  fear  .
Positive,1,2,...    a  roller-coaster   ride   of   a  movie
Neutral,0,0,"    I    enjoyed   Time   of  Favor   while   I   was   watching  it  ,  but   I   was   surprised   at    how  quickly   it   faded   from   my  memory  ."
Positive,1,2,"Chicago     is   sophisticated   ,   brash   ,   sardonic   ,   completely  joyful   in   its  execution  ."
Positive,1,1,  Steve   Irwin  's  method    is    Ernest  Hemmingway   at   accelerated    speed  and  volume  .
Positive,1,2,  A    refreshing  Korean  film     about  five   female   high   school  friends   who    face   an   uphill  battle   when   they   try   to    take   their  relationships   into   deeper  waters  .
Positive,1,1,"     On   the  surface   ,   it   's   a   lovers-on-the-run   crime  flick  ,  but   it   has    a  lot   in      common   with     Piesiewicz  's  and   Kieslowski  's   earlier  work  ,   films like (2  The  Double  Life   of  Veronique  ."
Positive,1,1,"  The  values   that   have     held   the   Enterprise  crew  together   through   previous    adventures  and  perils     do    so  again-courage   ,    self-sacrifice  and  patience   under  pressure  ."
Positive,1,2," If   it    's   possible   for   a  sequel   to   outshine   the  original   ,   then   SL2    does   just  that  ."
Positive,1,1,  A   romantic  comedy  that    operates   by    the  rules   of   its   own   self-contained  universe  .
Positive,1,1,"         4  friends  ,   2  couples  ,   2000  miles  ,  and  all   the   Pabst   Blue   Ribbon  beer     they   can  drink  -   it    's   the   ultimate   redneck  road-trip  ."
Positive,1,2, The  film   is   often    filled   with    a  sense   of   pure    wonderment  and  excitement   not   often   seen   in    today  's   cinema   du  sarcasm
Positive,1,1,"    It   might   be   tempting   to    regard     Mr.  Andrew  and   his  collaborators   as  oddballs  ,  but     Mr.   Earnhart  's    quizzical   ,  charming  movie   allows   us   to       see  them  , finally ,   as  artists  ."
Positive,1,2,   A   feel-good  picture   in   the   best  sense   of   the  term  .
Positive,1,1,"   Edited  and  shot   with    a   syncopated  style   mimicking    the  work   of   his  subjects   ,   Pray      turns    the  idea   of    the  documentary   on   its  head  ,   making   it    rousing ,  invigorating   fun   lacking   any   MTV  puffery  ."
Positive,1,1," A        mostly  intelligent  ,  engrossing  and   psychologically  resonant  suspenser  ."
Neutral,0,0,"It    's    this   memory-as-identity  obviation   that    gives   Secret  Life     its   intermittent  unease  ,   reaffirming      that    long-held  illusions    are  indeed  reality  ,  and   that    erasing  them recasts (2  the self  ."
Neutral,0,0,"    Hip-hop   has   a  history  ,  and   it   's    a  metaphor   for   this   love  story  ."
Positive,1,2," In   scope   ,    ambition  and  accomplishment   ,    Children   of   the  Century   ...     takes    Kurys  '  career   to   a   whole   new  level  ."
Positive,1,1,"    This    may  not   have    the   dramatic   gut-wrenching  impact   of   other   Holocaust  films  ,  but   it     's   a   compelling  story  ,   mainly   because    of   the  way   it   's   told by   the people   who   were  there  ."
Neutral,0,0, Between    the  drama   of  Cube  ?
Positive,1,2," s    personal  revelations   regarding   what    the  shop   means   in   the   big  picture   ,    iconic  characters       gambol  fluidly   through   the  story  ,   with   charming  results  ."
Positive,1,1,"  A   gentle   ,   compassionate  drama   about    grief  and  healing  ."
Negative,-1,-2,"  Somewhere  short     of   Tremors   on     the   modern  B-scene  :     neither   as  funny  nor   as  clever  ,  though    an  agreeably     unpretentious  way   to   spend   ninety  minutes  ."
Positive,1,1,  Digital-video  documentary   about   stand-up  comedians    is    a   great  glimpse   into   a    very  different  world  .
Neutral,0,0," Unlike   most   teen  flicks   ,   Swimming         takes   its   time   to   tell   its  story  ,    casts    mostly  little-known  performers   in   key  roles  ,  and   introduces   some   intriguing  ambiguity ."
Positive,1,1,"   An  enthralling  ,    playful  film   that   constantly   frustrates   our   desire   to     know    the   `   truth  '   about   this  man   ,   while   deconstructing    the   very  format   of    the biography  in  a  manner   that   Derrida    would  doubtless    give   his  blessing  to  ."
Positive,1,2,"It        's  obviously    struck   a   responsive  chord   with   many   South  Koreans  ,  and   should    work   its  magic   in    other  parts   of   the  world  ."
Positive,1,2," Run  ,     do  n't    walk  ,   to   see    this     barbed  and  bracing  comedy   on   the   big  screen  ."
Positive,1,2,  A   classy  item   by    a  legend   who   may   have   nothing   left   to  prove    but     still   has   the  chops  and   drive   to   show   how   its  done  .
Neutral,0,0,It    is   nature   against  progress  .
Positive,1,1," In    Fessenden  's   horror  trilogy   ,    this  theme      has   proved   important   to  him  and   is   especially   so   in   the  finale  ."
Positive,1,1,"   It     's  not  exactly   a   gourmet  meal  but    the  fare     is  fair  ,   even   coming   from   the  drive-thru  ."
Positive,1,2,"This    is   what   IMAX   was   made    for   :         Strap   on    a  pair   of   3-D  goggles  ,    shut  out   the   real  world  ,  and    take   a   vicarious  voyage   to   the   last frontier --  space  ."
Positive,1,1," Merely   as   a   technical   ,   logistical  feat   ,    Russian  Ark    marks   a   cinematic  milestone  ."
Positive,1,1,#NAME?
Negative,-1,-2,It    's    a   great  deal   of     sizzle  and   very  little  steak  .
Positive,1,2,But    what   spectacular   sizzle   it  is  !
Positive,1,2,...    In   this  incarnation    its  fizz    is  infectious  .
Positive,1,1,   An   original  gem   about   an  obsession   with  time  .
Positive,1,2,It    will    delight  newcomers   to     the  story  and   those   who    know  it   from   bygone  days  .
Positive,1,1,Gloriously   goofy      -LRB-  and  gory  -RRB-    midnight  movie   stuff  .
Positive,1,2, The  film     overcomes    the   regular  minefield   of   coming-of-age  cliches   with    potent  doses   of    honesty  and  sensitivity  .
Positive,1,1," If    your  senses    have  n't   been   dulled   by   slasher    films  and  gorefests   ,    if   you   're    a  connoisseur   of   psychological  horror   ,   this    is   your  ticket  ."
Positive,1,1,"It    's    a   minor  comedy   that     tries   to    balance  sweetness   with  coarseness  ,   while   it   paints    a   sad  picture   of   the   singles  scene  ."
Positive,1,2,It       is   intensely  personal  and    yet   --    unlike  Quills  --  deftly   shows   us    the  temper   of   the  times  .
Positive,1,1," As   lo-fi   as    the   special  effects  are   ,     the  folks   who  cobbled     Nemesis  together     indulge    the  force   of  humanity   over   hardware   in   a  way   that    George  Lucas  (2 (2 has long  forgotten  ."
Negative,-1,-2, Like  Mike     does  n't    win   any  points   for  originality  .
Positive,1,1,"It    does    succeed   by    following   a   feel-good  formula    with   a   winning  style    ,  and   by   offering    its   target  audience   of   urban  kids     some   welcome   role  models  and (3 optimism  ."
Positive,1,1,"It     's        a  hoot  and   a  half  ,  and    a   great  way   for   the   American  people   to   see   what    a  candidate   is   like   when   he    's  not   giving   the   same  -15cent stump speech  ."
Positive,1,1,"   Far   from  perfect  ,   but    its  heart   is   in     the   right  place  ...    innocent  and  well-meaning  ."
Positive,1,1," A    sad   ,  superior   human  comedy     played  out   on    the   back  roads   of  life  ."
Positive,1,2,"    Waydowntown   is   by    no  means   a   perfect  film  ,  but   its     boasts   a   huge   charm  factor  and   smacks   of  originality  ."
Positive,1,2," Tim  Allen      is   great   in   his  role  but   never    hogs   the  scenes   from     his   fellow  cast  ,   as   there   are     plenty   of  laughs  and    good  lines   for   everyone   in this comedy  ."
Positive,1,1,"  More   a  load   of     enjoyable   ,  Conan-esque  claptrap   than     the  punishing  ,    special-effects   soul  assaults   the   Mummy  pictures   represent  ."
Positive,1,1," Enormously  likable   ,    partly   because   it   is   aware   of    its   own  grasp   of   the  absurd  ."
Positive,1,1,"Here       's   a   British  flick  gleefully      unconcerned   with  plausibility  ,  yet   just   as  determined   to   entertain  you  ."
Positive,1,1,"    It   's   an   old  story  ,  but         a   lively  script  ,   sharp  acting  and  partially   animated  interludes   make   Just    a  Kiss   seem   minty  fresh  ."
Positive,1,1,Must    be   seen   to   be  believed  .
Negative,-1,-2,"    Ray   Liotta   and   Jason  Patric      do   some   of    their   best  work   in   their   underwritten  roles  ,  but    do  n't   be  fooled  :   Nobody    deserves   any  prizes  here  ."
Positive,1,2,"     Everything   that   has   to   do   with    Yvan  and  Charlotte  ,  and   everything   that   has   to   do   with      Yvan  's   rambunctious   ,   Jewish  sister  and   her   non-Jew  husband (2 ,  feels   funny  and  true  ."
Positive,1,2," The  year    's     happiest  surprise  ,    a  movie   that   deals   with    a   real  subject   in   an    always  surprising  way  ."
Positive,1,2, Fans   of      Behan  's  work  and    of   Irish  movies   in  general    will   be   rewarded   by   Borstal  Boy  .
Negative,-1,-2,"     Its  mysteries   are   transparently  obvious  ,  and   it    's   too  slowly   paced   to   be   a  thriller  ."
Positive,1,2,-LRB-     But      it  's   -RRB-  worth  recommending  because   of    two   marvelous  performances   by   Michael    Caine  and  Brendan   Fraser  .
Positive,1,1,"     The  film      is  faithful   to   what    one  presumes   are    the   book  's   twin  premises  --   that   we   become   who   we   are   on    the  backs   of   our  parents  ,  but  (2 we  have    no  idea      who   they   were   at   our  age  ;  and   that   time    is   a   fleeting   and   precious  commodity   no   matter    how  old   you  are  ."
Positive,1,1,  Stephen   Earnhart  's   homespun   documentary   Mule   Skinner  Blues      has  nothing  but   love   for    its  posse   of   trailer   park  denizens  .
Positive,1,1, A    solidly  seaworthy  chiller  .
Positive,1,1, If   you   can   get    past      the   fantastical  aspects  and  harsh  realities     of  ``   The  Isle  ''   you    'll   get    a   sock-you-in-the-eye  flick   that   is     a   visual  tour-de-force and   a story   that   is   unlike   any   you    will  likely   see   anywhere  else  .
Positive,1,1,"    There   are    as   many   misses   as  hits    ,  but  ultimately   ,    it    finds  humor   in    the  foibles   of   human  behavior  ,  and   it   's    a   welcome  return   to    the roots  of   a  genre   that   should   depend   on  surprises  ."
Positive,1,2,   A   well-made  thriller   with   a   certain  level   of   intelligence   and   non-reactionary  morality  .
Positive,1,1,"There    's      enough   science   to   make   it   count   as  educational  ,  and   enough   beauty   to   make   it  unforgettable  ."
Neutral,0,0,"Remains     a     solid   ,   if   somewhat   heavy-handed  ,  account   of   the  near-disaster   ...     done  up   by  Howard   with   a    steady   ,   if   not   very   imaginative  ,  hand  ."
Positive,1,1,Makmalbaf     follows    a    resolutely  realistic  path   in   this   uncompromising  insight   into    the   harsh  existence   of    the   Kurdish  refugees   of    Iran  's  borderlands  .
Positive,1,1," For    a   good  chunk   of   its   running  time   ,   Trapped    is   an     effective  and  claustrophobic  thriller  ."
Positive,1,1, Most   of  Crush    is    a     clever  and  captivating   romantic  comedy   with    a   welcome  pinch   of  tartness  .
Positive,1,1,Nair    does   capture    the  complexity   of     a   big  family  and   its    trials  and  tribulations  ...
Neutral,0,0,"   The   seaside  splendor  and   shallow   ,   beautiful  people    are   nice   to   look   at   while   you   wait   for   the   story   to   get  going  ."
Positive,1,2,Rare    is    the   `   urban   comedy  '   that   even   attempts    the    insight  and  honesty   of   this   disarming  indie  .
Positive,1,2, Ranks   among    Willams  '   best  screen   work  .
Positive,1,2,Engagingly    captures       the  maddening  and   magnetic  ebb  and   flow   of  friendship  .
Positive,1,1,  An  experience   so   engrossing  it    is   like   being   buried   in   a   new  environment  .
Positive,1,2,"    It    's  traditional   moviemaking   all   the  way  ,  but   it   's   done   with    a  lot   of     careful   period  attention   as   well  as   some   very   welcome  wit  ."
Neutral,0,0,"   Maybe   it   's   just   because    this   past  year   has   seen    the  release   of   some   of    the   worst   film  comedies   in  decades  ...   But   honestly   ,    Analyze  That   really  is  n't   all  that  bad  ."
Positive,1,1,"   A   droll   ,   well-acted   ,   character-driven  comedy   with   unexpected  deposits   of  feeling  ."
Positive,1,2,This     is  simply    the   most  fun   you    'll  ever   have   with   a  documentary  !
Positive,1,2, A    very  funny  movie  .
Negative,-1,-1,"  Watching   Haneke  's  film       is  ,   aptly  enough  ,     a  challenge  and   a  punishment  ."
Positive,1,2,"But       watching  Huppert  ,    a   great  actress   tearing   into   a   landmark  role  ,    is  riveting  ."
Positive,1,1,  A   cop  story   that   understands   the  medium    amazingly  well  .
Positive,1,1,"Britney    has   been     delivered   to    the   big  screen    safe  and  sound  ,    the  way   we    like   our   20-year-old   superstar  girls   to   travel   on   the   fame  freeway  ."
Positive,1,1, Those   outside   show  business    will    enjoy   a   close  look   at   people   they     do  n't  really   want   to  know  .
Neutral,0,0,  The  kind   of    nervous  film   that   will   either      give  you   a   mild  headache  or   exhilarate  you  .
Positive,1,1,   Watching  Beanie  and   his  gang        put  together   his   slasher  video   from   spare  parts  and   borrowed   materials    is   as   much  fun   as   it   must   have   been   for   them   to make it  .
Positive,1,2,"    Children    may  not   understand   everything   that  happens   --    I     'm  not  sure   even    Miyazaki  himself  does  --  but   they        will   almost  certainly   be  fascinated  ,  and undoubtedly delighted  ."
Positive,1,2, A     fascinating  and  fun  film  .
Positive,1,2,"Tadpole    is     a    sophisticated   ,    funny  and  good-natured  treat  ,   slight   but   a  pleasure  ."
Positive,1,1,"    This   insightful   ,   Oscar-nominated  documentary  ,    in  which    children   on    both  sides   of   the   ever-escalating  conflict     have   their  say  away   from   watchful   parental  eyes  ,  gives  peace   yet   another  chance  ."
Positive,1,2,I    admired    this  work   a  lot  .
Positive,1,1," Whether   you   're       moved  and   love  it  ,  or     bored  or  frustrated   by   the  film   ,   you     'll  still   feel  something  ."
Positive,1,2,...   there    are    enough  moments   of    heartbreaking  honesty   to   keep   one   glued   to   the  screen  .
Positive,1,1,"      My  goodness  ,   Queen  Latifah   has   a   lot   to  offer  and   she   seemed   to   have    no  problem   flaunting   her   natural  gifts  ."
Positive,1,1,She    must   have   a    very  strong  back  .
Positive,1,2," A   smart   ,    sweet  and  playful    romantic  comedy  ."
Positive,1,1," Without  heavy-handedness   ,   Dong     provides  perspective   with    his   intelligent  grasp   of   human    foibles  and  contradictions  ."
Positive,1,1,"  Solid  ,    lump-in-the-throat   family  entertainment   that    derives   its  power   by   sticking   to   the  facts  ."
Positive,1,2," As   an  entertainment    ,     the  movie    keeps  you    diverted  and   best   of  all  ,   it     lightens   your  wallet   without   leaving   a  sting  ."
Positive,1,1,It    is     interesting  and  fun   to    see    Goodall  and   her  chimpanzees   on   the   bigger-than-life  screen  .
Neutral,0,0,   It    wo  n't   bust   your  gut     --  and   it    's  not   intended  to  --   it    's  merely    a   blandly   cinematic   surgical  examination   of   what   makes    a  joke   a  joke  .
Positive,1,1,"  A     somewhat   crudely  constructed  but    gripping   ,   questing  look   at   a  person   so   racked   with  self-loathing   ,   he     becomes   an  enemy   to   his   own  race  ."
Positive,1,1,"It    extends       the  writings   of      Jean   Genet   and   John  Rechy  ,    the  films   of  Fassbinder  ,  perhaps  even    the   nocturnal  works   of  Goya  ."
Positive,1,1,"    Narc    may  not   get    an   `   A  '   for  originality  ,  but   it    wears   its   B-movie  heritage   like    a  badge   of  honor  ."
Positive,1,2," With    the   film  's   striking  ending   ,   one    realizes   that   we   have   a   long   way   to   go   before   we   fully   understand    all   the   sexual  permutations  involved  ."
Positive,1,1," -LRB-   Drumline  -RRB-    is      entertaining   for   what   it  does  ,  and   admirable   for   what   it    does  n't  do  ."
Positive,1,1, At    its  best   early   on  as   it    plays    the   culture  clashes   between   the  brothers  .
Positive,1,1, An      unabashedly  schmaltzy  and    thoroughly  enjoyable  true  story  .
Positive,1,1, A  thoughtful    look   at    a   painful  incident   that    made  headlines   in  1995  .
Positive,1,1, Tsai  Ming-liang    has     taken   his   trademark  style  and    refined  it   to   a   crystalline  point  .
Neutral,0,0," Purely    propaganda  ,    a  work   of   unabashed   hero  worship   ,   it      is   nonetheless      --  and  likely  inadvertently  --    a     timely  and  invaluable   implicit  reminder   of   the  role that   U.S.   foreign  policy   has   played   in    the  rise   of  Castro  ."
Positive,1,1," Now   trimmed   by    about  20  minutes   ,    this   lavish   three-year-old  production    has   enough     grandeur  and  scale   to   satisfy   as   grown-up  escapism  ."
Positive,1,1,We     get     some    truly  unique   character  studies  and    a  cross-section   of  Americana   that   Hollywood     could  n't  possibly    fictionalize  and   be  believed  .
Neutral,0,0," Though    this  film   can   be  clumsy   ,    its  ambitions     are  equally      --  and  admirably  --  uncommercial  ."
Positive,1,2,"    Daring  ,  mesmerizing  and   exceedingly  hard    to  forget  ."
Positive,1,1,  Moore  's  performance     impresses    almost   as  much   as   her  work   with   Haynes   in    1995  's  Safe  .
