Word,English,Sentiment,Sentiment Num
pai kia,hooligan,negative,-1
pai lang,gangster,negative,-1
pai nang,gangster,negative,-1
zho pai nang,do something unpleasant to the other person,negative,-1
pai than,too difficult for what it is worth,negative,-1
paiseh,sorry,neutral,0
pakat,agreement,neutral,0
pakcik,younger uncle,neutral,0
pang chan,give chance,neutral,0
pantang,taboo,neutral,0
pasal,endure,neutral,0
pasang,effective,positive,1
pasar malam,market,neutral,0
pau chia,sure to win,positive,1
pau ka liau,ended,neutral,0
cha tow peng,unresponsive,negative,-1
chau peng,run away,negative,-1
play cheat,cheater,negative,-1
play play,fool around,negative,-1
play punk,punk,negative,-1
pom pom,poop,neutral,0
ponteng,truant,negative,-1
powderful,powerful,positive,1
relak,relax,positive,1
relak one corner,relax,positive,1
sabo,sabotage,negative,-1
sabo king,sabotage,negative,-1
sai kang,dirty work,negative,-1
sakali,what if,neutral,0
sakar,flatter,negative,-1
salah,wrong,negative,-1
sampai tua,until old,neutral,0
samseng,secret society,neutral,0
sapu,cleared completely,neutral,0
sarong party girl,frequent party-goer female,negative,-1
save face,avoid disgrace,neutral,0
sayang,love,positive,1
"score point, score points",gain at the expense of someone,negative,-1
screw,scold,negative,-1
screw inside-out,scold,negative,-1
screw upside-down,scold,negative,-1
sedap,delicious,positive,1
see first,check,neutral,0
see how,find out,neutral,0
see peh,very,neutral,0
see peh kiam,stingy,negative,-1
see peh sian,bored,negative,-1
see peh siong,tough,negative,-1
see peh suay,lucky,positive,1
sei,steady,positive,1
sekali,what if,neutral,0
selekeh,sloppy,negative,-1
senang,easy,positive,1
senget,untidy,negative,-1
seow,crazy,negative,-1
seow cha bor,female perceived to behave in erractic manner,negative,-1
seow on,very eager to do work,positive,1
serani,christian,positive,1
serimuka,charming,positive,1
"shack, shacked",exhausted,negative,-1
shake,exhausted,negative,-1
shake legs,avoid work,negative,-1
shee shee,pee,neutral,0
shilling,small silver,neutral,0
shiok,feel good,positive,1
show half ball,reveal a lot of cleavage,negative,-1
"sia, siak",very prepared,positive,1
siam,escape,neutral,0
sian,bored,negative,-1
sinseh,elder,neutral,0
siong,troublesome,negative,-1
slang,accent,neutral,0
slime,insult,negative,-1
smoke,mislead,negative,-1
snake,sly,negative,-1
solid,good,positive,1
steady pom pi pi,great,positive,1
steam,excited,positive,1
steam sia,excited,positive,1
stylo,stylish,positive,1
stylo-milo,stylish,positive,1
suaku,ignorant,negative,-1
suay,lucky,positive,1
sudah,done,neutral,0
suka-suka,as you wish,neutral,0
susah,troublesome,negative,-1
swee,perfect,positive,1
ta pau,take away,neutral,0
tahan,endure,positive,1
tak jalan,not working,negative,-1
talk cock sing song,nonsense,negative,-1
tambi,younger brother,neutral,0
tamby,younger brother,neutral,0
taupok,pile on top of one another,neutral,0
tekan,brother,negative,-1
tekan session,torture session,negative,-1
tikam,randomly choose,neutral,0
tingkat,window,neutral,0
tombalek,upside down,negative,-1
topo king,very bad at navigation,negative,-1
towkay,leader of the family,neutral,0
tu lan,frustrated,negative,-1
tua pek kong,father's elder brother,neutral,0
tuang,pour,neutral,0
tumpang,take a lift,neutral,0
ular,sly,negative,-1
ular-king,always sly,negative,-1
ulu,remote,neutral,0
vomit blood,throw up,negative,-1
wa lan,exclamation as a result of dismay,negative,-1
wahlau,oh dear,negative,-1
wake up your ideas,dont be lazy,negative,-1
wayang,fake act,negative,-1
what the fish,What the fuck?,negative,-1
where got?,When has such a thing happened?,negative,-1
white horse,soldier from a wealthy family,neutral,0
super white horse,soldier from a very wealthy family,neutral,0
"whole jin gang, the",whole group,neutral,0
wor,exclamation,positive,1
wowo,poor shooter,negative,-1
wowo king,poor shooter,negative,-1
ya,yes,positive,1
yam seng,cheers,positive,1
yaya,show off,negative,-1
yaya-king,someone who is always boastful,negative,-1
yaya papaya,someone who always agrees,negative,-1
yeh yeh,zero point,neutral,0
your head,nonsense,negative,-1
yum seng,cheers,positive,1
zai,smart,positive,1
ai zai,calm down,positive,1
buay zai,panicky,negative,-1
zap,photocopy,neutral,0
nasi,rice,neutral,0
boh chap,hopeless,negative,-1
good game,lose,negative,-1
pls,please,neutral,0
wth,what the heck,negative,-1
omg,oh dear,negative,-1
liao,already,neutral,0
limpeh,i,neutral,0
btw,by the way,neutral,0
kwai,good,neutral,0
cheebye,swear,negative,-1
stg,steal,neutral,0
cmon,come on,neutral,0
knn,swear,negative,-1
swole,strong,neutral,0
abt,about,neutral,0
nah,nevermind,neutral,0
bodo,stupid,negative,-1
wif,with,neutral,0
kena,got,negative,0
izit,is it,neutral,0
unker,uncle,neutral,0
m.c,break,neutral,0
garmen,government,neutral,0
sg,Singapore,neutral,0
jb,johor,neutral,0
poly,school,neutral,0
jc,junior college,neutral,0
bucks,dollars,neutral,0
fkin,very,neutral,0
tbf,to be frank,neutral,0
S'pore,Singapore,neutral,0
jia you,cheer,positive,1
jy,cheer,positive,1
screaming,exclaiming,positive,1
abuthen,filler,Negative,-1
act-blur,filler,Negative,-1
act-cute,filler,Negative,-1
ahbang,filler,Positive,1
ahbeng,filler,Negative,-1
ah-beng,filler,Negative,-1
ahlian,filler,Negative,-1
ah-lian,filler,Negative,-1
ahlong,filler,Negative,-1
ah-long,filler,Negative,-1
ahnei,filler,Negative,-1
ah-nei,filler,Negative,-1
ahtiong,filler,Negative,-1
ah-tiong,filler,Negative,-1
aisee,filler,Negative,-1
ai-see,filler,Negative,-1
ai-see-buay-see,filler,Negative,-1
aiya,filler,Negative,-1
ai-ya,filler,Negative,-1
ai-yah,filler,Negative,-1
aiyo,filler,Negative,-1
aiyoyo,filler,Negative,-1
alamk,filler,Negative,-1
atas,filler,Positive,1
ationg,filler,Negative,-1
a-tiong,filler,Negative,-1
bagus,filler,Positive,1
baik,filler,Positive,1
baik-ah,filler,Positive,1
bang,filler,Positive,1
bobian,filler,Negative,-1
bo-bian,filler,Negative,-1
bo-doh,filler,Negative,-1
boh-chup,filler,Negative,-1
bohliao,filler,Negative,-1
boh-liao,filler,Negative,-1
bojio,filler,Negative,-1
bo-jio,filler,Negative,-1
bo-leh,filler,Positive,1
boliao,filler,Negative,-1
bo-liao,filler,Negative,-1
bo-wei-kong,filler,Negative,-1
bo-zheng-hu,filler,Negative,-1
buaylun,filler,Negative,-1
buay-lun,filler,Negative,-1
buaypai,filler,Positive,1
buay-pai,filler,Positive,1
buaysai,filler,Negative,-1
buay-sai,filler,Negative,-1
buay-song,filler,Negative,-1
buay-steady,filler,Negative,-1
buay-tahan,filler,Negative,-1
bueylun,filler,Negative,-1
buey-lun,filler,Negative,-1
bueypai,filler,Positive,1
buey-pai,filler,Positive,1
bueysai,filler,Negative,-1
buey-sai,filler,Negative,-1
bueysong,filler,Negative,-1
buey-song,filler,Negative,-1
buey-steady,filler,Negative,-1
buey-tahan,filler,Negative,-1
busoh,filler,Negative,-1
bu-soh,filler,Negative,-1
butoh,filler,Negative,-1
catch-no-ball,filler,Negative,-1
CB,filler,Negative,-1
CCB,filler,Negative,-1
Chinese-helicopter,filler,Negative,-1
chio,filler,Positive,1
chiong,filler,Negative,-1
chui,filler,Negative,-1
cibai,filler,Negative,-1
Cina,filler,Negative,-1
cui,filler,Negative,-1
dulan,filler,Negative,-1
du-lan,filler,Negative,-1
dun,filler,Negate,-1
earlier-never-say,filler,Negative,-1
eat-snake,filler,Negative,-1
geh-kiang,filler,Negative,-1
hah,filler,Negative,-1
haiya,filler,Negative,-1
haiyah,filler,Negative,-1
hai-yah,filler,Negative,-1
haiz,filler,Negative,-1
han-nah,filler,Negative,-1
hao-lian,filler,Negative,-1
har,filler,Negative,-1
heng-ah,filler,Positive,1
hiong,filler,Negative,-1
hoe-mia,filler,Positive,1
hong-kan,filler,Negative,-1
hong-kan-ah,filler,Negative,-1
horr,filler,Negative,-1
hosay,filler,Positive,1
ho-say,filler,Positive,1
hoseh,filler,Positive,1
ho-seh,filler,Positive,1
huat,filler,Positive,1
huat-ah,filler,Positive,1
jiakchao,filler,Negative,-1
jiak-chao,filler,Negative,-1
jiakzua,filler,Negative,-1
jiak-zua,filler,Negative,-1
jialat,filler,Negative,-1
kaki,filler,Positive,1
kanchiong,filler,Negative,-1
kanchong,filler,Negative,-1
KaNiNaBei,filler,Negative,-1
KanNiNa,filler,Negative,-1
kantang,filler,Negative,-1
kaopei,filler,Negative,-1
kao-pei,filler,Negative,-1
kaput,filler,Negative,-1
kaypo,filler,Negative,-1
kay-po,filler,Negative,-1
kayu,filler,Negative,-1
kelong,filler,Negative,-1
kentot,filler,Negative,-1
kentut,filler,Negative,-1
kiasi,filler,Negative,-1
kiasu,filler,Negative,-1
kilat,filler,Positive,1
KNN,filler,Negative,-1
KNNBCCB,filler,Negative,-1
KNNCCB,filler,Negative,-1
KNNPCB,filler,Negative,-1
KNS,filler,Negative,-1
kosong,filler,Negative,-1
koyak,filler,Negative,-1
koyok,filler,Negative,-1
KPCB,filler,Negative,-1
KPKB,filler,Negative,-1
kpo,filler,Negative,-1
kuailan,filler,Negative,-1
kuai-lan,filler,Negative,-1
kuku,filler,Negative,-1
kwailan,filler,Negative,-1
kwai-lan,filler,Negative,-1
lama,filler,Negative,-1
lanjiao,filler,Negative,-1
lan-jiao,filler,Negative,-1
laojiao,filler,Positive,1
lao-jiao,filler,Positive,1
leceh,filler,Negative,-1
liak-bo-kiu,filler,Negative,-1
loh,filler,Negative,-1
malu,filler,Negative,-1
mati,filler,Negative,-1
nabei,filler,Negative,-1
na-bei,filler,Negative,-1
NB,filler,Negative,-1
NBCB,filler,Negative,-1
NiNaBei,filler,Negative,-1
NNB,filler,Negative,-1
NNBCB,filler,Negative,-1
oi,filler,Negative,-1
orh-hor,filler,Negative,-1
paisay,filler,Negative,-1
pai-say,filler,Negative,-1
pai-seh,filler,Negative,-1
paisey,filler,Negative,-1
pai-sey,filler,Negative,-1
pang-sai,filler,Negative,-1
pekchek,filler,Negative,-1
pek-chek,filler,Negative,-1
pengsan,filler,Negative,-1
peng-san,filler,Negative,-1
ramai,filler,Negative,-1
saki,filler,Positive,1
sala,filler,Negative,-1
salacious,filler,Negative,-1
salah,filler,Negative,-1
sejok,filler,Negative,-1
sejuk,filler,Negative,-1
shiok,filler,Positive,1
shiok-man,filler,Positive,1
sia,filler,Negative,-1
sial,filler,Negative,-1
siao,filler,Negative,-1
sibeh,filler,Negative,-1
si-beh,filler,Negative,-1
sibei,filler,Negative,-1
si-bei,filler,Negative,-1
sibey,filler,Negative,-1
si-bey,filler,Negative,-1
sien,filler,Negative,-1
SiMiLanJiao,filler,Negative,-1
sio,filler,Negative,-1
siol,filler,Negative,-1
siong,filler,Negative,-1
skank,filler,Negative,-1
SMLJ,filler,Negative,-1
Song bo,filler,Positive,1
sotong,filler,Negative,-1
suka,filler,Negative,-1
suku,filler,Negative,-1
tak-boleh-tahan,filler,Negative,-1
talk-cock,filler,Negative,-1
Tekan,filler,Negative,-1
tio-bay-pio,filler,Positive,1
tokong,filler,Positive,1
to-kong,filler,Positive,1
tok-tok,filler,Negative,-1
wa,filler,Negative,-1
wah,filler,Negative,-1
wahbiang,filler,Negative,-1
wah-biang,filler,Negative,-1
wahkao,filler,Negative,-1
wah-kao,filler,Negative,-1
wahlan,filler,Negative,-1
wah-lan,filler,Negative,-1
wahpiang,filler,Negative,-1
wah-piang,filler,Negative,-1
wakao,filler,Negative,-1
wa-kao,filler,Negative,-1
walan,filler,Negative,-1
wa-lan,filler,Negative,-1
walang,filler,Negative,-1
wa-lang,filler,Negative,-1
walao,filler,Negative,-1
walaoeh,filler,Negative,-1
wallow,filler,Negative,-1
wanton,filler,Negative,-1
wapiang,filler,Negative,-1
wa-piang,filler,Negative,-1
wayang,filler,Negative,-1
wa-yang,filler,Negative,-1
yah-lah,filler,Negative,-1
yandao,filler,Positive,1
yan-dao,filler,Positive,1
yaya-papaya,filler,Negative,-1
zai,filler,Positive,1
zi-siao,filler,Negative,-1
STOMP,Sg social media news to humiliate people,Negative,-1
knn,vulgarity,Negative,-1
kns,vulgarity,Negative,-1
