Word,English,Sentiment,Sentiment Num
mama shop,convenient shop,neutral,0
meh,isit,neutral,0
nah,nevermind,neutral,0
nasi,rice,neutral,0
no spee-yak,nothing to say,neutral,0
paiseh,sorry,neutral,0
pakat,agreement,neutral,0
pakcik,younger uncle,neutral,0
pang chan,give chance,neutral,0
pantang,taboo,neutral,0
pasal,endure,neutral,0
pasar malam,market,neutral,0
pau ka liau,ended,neutral,0
pls,please,neutral,0
poly,school,neutral,0
pom pom,poop,neutral,0
sakali,what if,neutral,0
sampai tua,until old,neutral,0
samseng,secret society,neutral,0
sapu,cleared completely,neutral,0
save face,protect your reputation,neutral,0
save face,avoid disgrace,neutral,0
see first,check,neutral,0
see how,find out,neutral,0
see peh,very,neutral,0
sekali,what if,neutral,0
sg,Singapore,neutral,0
shee shee,pee,neutral,0
shilling,small silver,neutral,0
siam,escape,neutral,0
sinseh,elder,neutral,0
slang,accent,neutral,0
S'pore,Singapore,neutral,0
stg,steal,neutral,0
sudah,done,neutral,0
suka-suka,as you wish,neutral,0
super white horse,soldier from a very wealthy family,neutral,0
swole,strong,neutral,0
ta pau,take away,neutral,0
tambi,younger brother,neutral,0
tamby,younger brother,neutral,0
taupok,pile on top of one another,neutral,0
tbf,to be frank,neutral,0
tikam,randomly choose,neutral,0
tingkat,window,neutral,0
towkay,leader of the family,neutral,0
tua pek kong,father's elder brother,neutral,0
tuang,pour,neutral,0
tumpang,take a lift,neutral,0
ulu,remote,neutral,0
unker,uncle,neutral,0
white horse,soldier from a wealthy family,neutral,0
"whole jin gang, the",whole group,neutral,0
wif,with,neutral,0
yeh yeh,zero point,neutral,0
zap,photocopy,neutral,0
