,Sentiment,Sentiment Num,Multi,Text,Text-original,Text_with_fullstop,Polarities Found,Polarity Count,Sarcasm?,Adversative Polarity,Adversative Present?,Polarity Count-after Adversative,Emoji Score,Polarity Count-multi
14,Positive,1,1,an utterly compelling ` who wrote it  in which the reputation of the most famous author who ever lived comes into question ., An  utterly     compelling  `   who     wrote  it  '   in   which     the  reputation   of    the    most  famous  author   who   ever  lived   comes   into  question  .,an utterly compelling ` who wrote it  in which the reputation of the most famous author who ever lived comes into question .,"[0, -1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0]",-1,-1,1,0,-1,0,-2
15,Neutral,0,0,illuminating if overly talky documentary .,Illuminating    if   overly  talky   documentary  .,illuminating if overly talky documentary .,"[1, 0, 0, 0, 0, 0]",1,0,1,0,1,0,1
16,Positive,1,2,a masterpiece four years in the making .,   A  masterpiece   four  years   in   the  making  .,a masterpiece four years in the making .,"[0, 1, 0, 0, 0, 0, 0, 0]",1,0,1,0,1,0,1
17,Positive,1,1,"the movie is ripe , enrapturing beauty will tempt those willing to probe its inscrutable mysteries .","  The   movie  's    ripe   ,  enrapturing  beauty    will   tempt   those   willing   to   probe   its   inscrutable  mysteries  .","the movie is ripe , enrapturing beauty will tempt those willing to probe its inscrutable mysteries .","[0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0]",1,0,1,0,1,0,1
18,Positive,1,2,offers a breath of the fresh air of true sophistication ., Offers    a  breath   of    the   fresh  air   of   true  sophistication  .,offers a breath of the fresh air of true sophistication .,"[1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0]",1,0,1,0,1,0,1
19,Positive,1,2,"a thoughtful , provocative , insistently humanizing film ."," A    thoughtful   ,   provocative   ,   insistently  humanizing  film  .","a thoughtful , provocative , insistently humanizing film .","[0, 1, 0, -1, 0, 0, 0, 0, 0]",-1,-1,-1,0,-1,0,-1
20,Positive,1,2,"with a cast that includes some of the top actors working in independent film , lovely amazing involves us because it is so incisive , so bleakly amusing about how we go about our lives ."," With    a  cast   that   includes   some   of    the   top  actors   working   in   independent  film   ,     Lovely  &  Amazing     involves  us   because   it   is      so  incisive  ,  so   bleakly amusing   about   how   we   go   about   our  lives  .","with a cast that includes some of the top actors working in independent film , lovely amazing involves us because it is so incisive , so bleakly amusing about how we go about our lives .","[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, 1, 0, 0, 0, 0, 0, 0, 0, 0]",-1,-1,1,0,-1,0,-2
21,Neutral,0,0,a disturbing and frighteningly evocative assembly of imagery and hypnotic music composed by philip glass .,  A     disturbing  and   frighteningly  evocative  assembly   of     imagery  and  hypnotic  music    composed   by   Philip  Glass  .,a disturbing and frighteningly evocative assembly of imagery and hypnotic music composed by philip glass .,"[0, -1, 0, -1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",-1,-1,-1,0,-1,0,-1
22,Positive,1,1,"notforeveryone , but for those with whom it will connect , it is a nice departure from standard moviegoing fare .","  Not   for  everyone    ,  but    for   those   with  whom   it   will  connect   ,   it    's    a   nice  departure   from   standard   moviegoing  fare  .","notforeveryone , but for those with whom it will connect , it is a nice departure from standard moviegoing fare .","[-1, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, -1, 0]",-1,-1,-1,1,-1,0,-1
23,Positive,1,1,scores a few points for doing what it does with a dedicated and good-hearted professionalism .,  Scores   a   few  points   for   doing   what   it   does   with   a     dedicated  and  good-hearted  professionalism  .,scores a few points for doing what it does with a dedicated and good-hearted professionalism .,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0]",1,0,1,0,1,0,1
24,Positive,1,1,"occasionally melodramatic , it is also extremely effective ."," Occasionally  melodramatic   ,   it     's  also   extremely  effective  .","occasionally melodramatic , it is also extremely effective .","[0, -1, 0, 0, 0, 0, 0, 1, 0]",-1,-1,-1,0,-1,0,-2
25,Positive,1,1,an idealistic love story that brings out the latent 15-year-old romantic in everyone .,  An   idealistic   love  story  that     brings  out    the    latent  15-year-old  romantic   in  everyone  .,an idealistic love story that brings out the latent 15-year-old romantic in everyone .,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]",1,0,1,0,1,0,1
26,Positive,1,1,"at about 95 minutes , treasure planet maintains a brisk pace as it races through the familiar story ."," At    about  95  minutes   ,    Treasure  Planet     maintains    a   brisk  pace   as   it  races   through   the   familiar  story  .","at about 95 minutes , treasure planet maintains a brisk pace as it races through the familiar story .","[0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1,0,1,0,1,0,1
27,Negative,-1,-2,"however , it lacks grandeur and that epic quality often associated with stevenson is tale and with earlier disney efforts .","However   ,   it    lacks    grandeur  and    that   epic  quality   often   associated     with    Stevenson  's  tale   as   well  as   with   earlier   Disney  efforts  .","however , it lacks grandeur and that epic quality often associated with stevenson is tale and with earlier disney efforts .","[8, 0, 0, -1, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",-1,-1,1,1,1,0,2
28,Positive,1,1,it helps that lil bow wow . . . tones down his pint-sized gangsta act to play someone who resembles a real kid .,   It   helps   that    Lil  Bow  Wow  ...    tones   down   his   pint-sized  gangsta   act   to   play   someone   who   resembles   a   real  kid  .,it helps that lil bow wow . . . tones down his pint-sized gangsta act to play someone who resembles a real kid .,"[0, 1, 0, 0, 0, 1, 0, 0, 0, 0, -1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",-1,-1,1,0,-1,0,-2
29,Positive,1,2,"guaranteed to move anyone who ever shook , rattled , or rolled ."," Guaranteed   to   move   anyone   who   ever       shook  ,  rattled  ,  or  rolled  .","guaranteed to move anyone who ever shook , rattled , or rolled .","[0, 0, 0, 0, 0, 0, -1, 0, -1, 0, 0, 0, 0]",-1,0,-1,0,-1,0,-1
30,Positive,1,2,"a masterful film from a master filmmaker , unique in its deceptive grimness , compelling in its fatalist worldview .","     A   masterful  film   from   a   master  filmmaker  ,   unique   in   its   deceptive  grimness  ,    compelling   in   its   fatalist  worldview  .","a masterful film from a master filmmaker , unique in its deceptive grimness , compelling in its fatalist worldview .","[0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, -1, -1, 0, 0, 0, 0, 0, 0, 0]",-1,-1,-1,0,-1,0,-2
31,Neutral,0,0,"light , cute and forgettable .","  Light  ,    cute  and  forgettable  .","light , cute and forgettable .","[0, 0, 1, 0, 0, 0]",1,0,1,0,1,0,1
32,Positive,1,1,"if there is a way to effectively teach kids about the dangers of drugs , i think it is in projects like the -lrb- unfortunately r-rated -rrb- paid ."," If   there   's   a   way   to   effectively   teach   kids   about    the  dangers   of  drugs   ,   I    think   it   's   in   projects   like    the   -LRB-   unfortunately   R-rated  -RRB-  Paid .","if there is a way to effectively teach kids about the dangers of drugs , i think it is in projects like the -lrb- unfortunately r-rated -rrb- paid .","[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, -1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, -1, 0, 0, 0, 0]",-1,-1,-1,0,-1,0,-2
33,Positive,1,1,"while it slightly negative easy to give crush the new title of two weddings and a funeral , it is a far more thoughtful film than any slice of hugh grant whimsy ."," While   it   would   be   easy   to    give  Crush    the   new  title   of     Two  Weddings  and   a  Funeral   ,   it    's    a    far   more  thoughtful  film   than    any  slice   of Hugh Grant whimsy  .","while it slightly negative easy to give crush the new title of two weddings and a funeral , it is a far more thoughtful film than any slice of hugh grant whimsy .","[0, 0, 0, -1, 1, 0, 0, -1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, -1, 0]",-1,-1,-1,0,-1,0,-1
34,Negative,-1,-2,"though everything might be literate and smart , it never took off and always seemed static ."," Though   everything   might   be    literate  and  smart   ,   it      never   took  off  and   always   seemed  static  .","though everything might be literate and smart , it never took off and always seemed static .","[0, 0, 0, 0, 0, 0, 1, 0, 0, 11, 0, 0, 0, 0, 0, -1, 0]",-1,-1,1,0,-1,0,-1
35,Positive,1,1,"cantet perfectly captures the hotel lobbies , two-lane highways , and roadside cafes that permeate vincent is days","Cantet   perfectly   captures        the   hotel  lobbies  ,   two-lane  highways  ,  and    roadside  cafes   that   permeate    Vincent  's  days","cantet perfectly captures the hotel lobbies , two-lane highways , and roadside cafes that permeate vincent is days","[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1,0,1,0,1,0,2
36,Positive,1,1,"ms . fulford-wierzbicki is almost spooky in her sulky , calculating lolita turn ."," Ms.  Fulford-Wierzbicki    is   almost   spooky   in   her   sulky   ,   calculating   Lolita  turn  .","ms . fulford-wierzbicki is almost spooky in her sulky , calculating lolita turn .","[0, 0, 0, 0, 0, -1, 0, 0, 0, 0, 0, 0, 0, 0]",-1,0,-1,0,-1,0,-1
37,Positive,1,1,"though it is by no means his best work , laissez-passer is a distinguished and distinctive effort by a bona-fide master , a fascinating film replete with 3 3 rewards to be had by all willing to make the effort to reap them ."," Though   it   is   by    no  means   his   best  work   ,   Laissez-Passer    is    a     distinguished  and  distinctive  effort   by     a   bona-fide  master  ,    a   fascinating  film   replete   with (3 (3 rewards  to  be   had   by   all   willing   to   make   the   effort   to   reap  them  .","though it is by no means his best work , laissez-passer is a distinguished and distinctive effort by a bona-fide master , a fascinating film replete with 3 3 rewards to be had by all willing to make the effort to reap them .","[0, 0, 0, 0, 11, 0, 0, (1, -7), 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0]",-1,-1,1,0,-1,0,-2
38,Negative,-1,-2,"like most bond outings in recent years , some of the stunts are so outlandish that they border on being cartoonlike ."," Like    most   Bond  outings   in   recent  years   ,    some   of   the  stunts    are   so   outlandish   that   they   border   on   being  cartoonlike  .","like most bond outings in recent years , some of the stunts are so outlandish that they border on being cartoonlike .","[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, 0, 0, 0, 0, 0, 0, 0]",-1,-1,-1,0,-1,0,-2
39,Neutral,0,0,a heavy reliance on cgi technology is beginning to creep into the series .,  A   heavy  reliance   on   CGI  technology    is   beginning   to   creep   into   the  series  .,a heavy reliance on cgi technology is beginning to creep into the series .,"[0, 0, 0, 0, 0, 0, 0, 0, 0, -1, 0, 0, 0, 0]",-1,0,-1,0,-1,0,-1
40,Positive,1,2,"newton draws our attention like a magnet , and acts circles around her better known co-star , mark wahlberg .","Newton        draws   our  attention   like   a  magnet  ,  and    acts  circles   around     her    better  known  co-star  ,   Mark  Wahlberg  .","newton draws our attention like a magnet , and acts circles around her better known co-star , mark wahlberg .","[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]",1,0,1,0,1,0,2
41,Negative,-1,-1,the story loses its bite in a last-minute happy ending that is even less plausible than the rest of the picture ., The  story     loses   its  bite   in    a   last-minute   happy  ending   that   's    even   less  plausible   than    the  rest   of   the  picture  .,the story loses its bite in a last-minute happy ending that is even less plausible than the rest of the picture .,"[0, 0, -1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",-1,-1,-1,0,-1,0,-1
42,Positive,1,2,"much of the way , though , this is a refreshingly novel ride ."," Much   of   the  way   ,   though   ,   this    is   a    refreshingly  novel  ride  .","much of the way , though , this is a refreshingly novel ride .","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,0,0,0,0,0,0
43,Positive,1,2,fuller would surely have called this gutsy and at times exhilarating movie a great yarn .,Fuller     would  surely   have   called      this  gutsy  and   at    times  exhilarating  movie   a   great  yarn  .,fuller would surely have called this gutsy and at times exhilarating movie a great yarn .,"[0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1, 0, 0]",1,0,1,0,1,0,2
44,Positive,1,1,the film makes a strong case for the importance of the musicians in creating the motown sound ., The  film     makes    a   strong  case   for    the  importance   of   the  musicians   in   creating   the   Motown  sound  .,the film makes a strong case for the importance of the musicians in creating the motown sound .,"[0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1,0,1,0,1,0,2
45,Neutral,0,0,"karmen moves like rhythm itself , her lips chanting to the beat , her long , braided hair doing little to wipe away the jeweled beads of sweat .","  Karmen  moves   like  rhythm   itself   ,    her  lips    chanting   to     the  beat  ,    her   long   ,   braided  hair    doing  little   to    wipe  away    the   jeweled  beads   of  sweat .","karmen moves like rhythm itself , her lips chanting to the beat , her long , braided hair doing little to wipe away the jeweled beads of sweat .","[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, -1, 0, 0, -1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",-1,-1,-1,0,-1,0,-1
46,Positive,1,2,gosling provides an amazing performance that dwarfs everything else in the film .,Gosling    provides    an   amazing  performance   that   dwarfs    everything  else   in   the  film  .,gosling provides an amazing performance that dwarfs everything else in the film .,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1,0,1,0,1,0,2
47,Positive,1,1,"a real movie , about real people , that gives us a rare glimpse into a culture most of us do not know .","   A   real  movie  ,     about   real  people  ,   that     gives  us   a   rare  glimpse   into    a  culture    most   of  us    do  n't  know  .","a real movie , about real people , that gives us a rare glimpse into a culture most of us do not know .","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 0, 0]",0,0,0,0,0,0,0
48,Positive,1,2,tender yet lacerating and darkly funny fable ., Tender     yet  lacerating  and   darkly   funny  fable  .,tender yet lacerating and darkly funny fable .,"[1, 8, 0, 0, 0, 1, 0, 0]",1,0,1,1,1,0,1
49,Positive,1,1,may be spoofing an easy target -- those old  50 is giant creature features -- but . . . it acknowledges and celebrates their cheesiness as the reason 3 2 why 2 people get a kick-out of watching them today .,   May   be    spoofing        an   easy  target  --   those  old  '     50  's   giant  creature  features  --  but  ...   it      acknowledges  and  celebrates   their  cheesiness   as    the  reason (3 (2 why (2 people  get    a  kick   out   of    watching  them  today  .,may be spoofing an easy target -- those old  50 is giant creature features -- but . . . it acknowledges and celebrates their cheesiness as the reason 3 2 why 2 people get a kick-out of watching them today .,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, 0, 0, 0, 0, 0]",-1,-1,-1,1,-1,0,-1
50,Positive,1,1,an engaging overview of johnson is eccentric career .,  An   engaging  overview   of    Johnson  's   eccentric  career  .,an engaging overview of johnson is eccentric career .,"[0, 1, 0, 0, 0, 0, -1, 0, 0]",-1,-1,-1,0,-1,0,-1
51,Positive,1,1,"in its ragged , cheap and unassuming way , the movie works ."," In   its   ragged   ,   cheap   and   unassuming  way   ,    the  movie   works  .","in its ragged , cheap and unassuming way , the movie works .","[0, 0, -1, 0, -1, 0, 0, 0, 0, 0, 0, 0, 0]",-1,0,-1,0,-1,0,-1
52,Positive,1,1,some actors have so much charisma that you had be happy to listen to them reading the phone book ., Some  actors     have   so  much   charisma   that   you   'd   be   happy   to   listen   to   them   reading   the   phone  book  .,some actors have so much charisma that you had be happy to listen to them reading the phone book .,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1,0,1,0,1,0,2
53,Positive,1,2,hugh grant and sandra bullock are two such likeable actors ., Hugh   Grant   and   Sandra  Bullock    are   two   such   likeable  actors  .,hugh grant and sandra bullock are two such likeable actors .,"[0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0]",1,0,1,0,1,0,1
54,Positive,1,1,"sandra nettelbeck beautifully orchestrates the transformation of the chilly , neurotic , and self-absorbed martha as her heart begins to open ."," Sandra  Nettelbeck   beautifully    orchestrates    the  transformation   of   the   chilly   ,    neurotic    ,  and  self-absorbed   Martha   as    her  heart   begins   to  open  .","sandra nettelbeck beautifully orchestrates the transformation of the chilly , neurotic , and self-absorbed martha as her heart begins to open .","[0, 0, 1, 0, 0, 0, 0, 0, -1, 0, -1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",-1,-1,-1,0,-1,0,-2
55,Positive,1,1,"behind the snow games and lovable siberian huskies -lrb- plus one sheep dog -rrb- , the picture hosts a parka-wrapped dose of heart ."," Behind     the   snow  games  and    lovable   Siberian  huskies   -LRB-    plus   one   sheep  dog  -RRB-   ,    the  picture    hosts    a   parka-wrapped  dose   of  heart  .","behind the snow games and lovable siberian huskies -lrb- plus one sheep dog -rrb- , the picture hosts a parka-wrapped dose of heart .","[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1,0,1,0,1,0,1
56,Positive,1,1,"everytime you think undercover brother has run out of steam , it finds a new way to surprise and amuse ."," Everytime   you   think    Undercover  Brother   has    run  out   of  steam   ,   it       finds   a   new  way   to  surprise  and  amuse  .","everytime you think undercover brother has run out of steam , it finds a new way to surprise and amuse .","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0]",1,0,1,0,1,0,1
57,Neutral,0,0,"manages to be original , even though it rips off many of its ideas .","Manages    to     be  original  ,   even   though   it    rips  off   many   of   its  ideas  .","manages to be original , even though it rips off many of its ideas .","[0, 0, 0, 1, 0, -8, 0, 0, 0, 0, 0, 0, 0, 0]",1,0,1,1,1,0,1
58,Positive,1,1,"a pleasant enough movie , held together by skilled ensemble actors .","   A   pleasant   enough  movie  ,    held  together   by   skilled   ensemble  actors  .","a pleasant enough movie , held together by skilled ensemble actors .","[0, 1, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0]",1,0,1,0,1,0,1
59,Positive,1,1,this is the best american movie about troubled teens since 1998 is whatever .,This    is    the   best   American  movie   about    troubled  teens   since    1998  's  Whatever  .,this is the best american movie about troubled teens since 1998 is whatever .,"[0, 0, 0, (1, -7), 0, 0, 0, -1, 0, 0, 0, 0, 0, 0]",-1,0,-1,0,-1,0,-2
60,Neutral,0,0,disney has always been hit-or-miss when bringing beloved kids  books to the screen . . . tuck everlasting is a little of both .,   Disney    has  always    been  hit-or-miss   when    bringing    beloved   kids  '  books   to   the  screen  ...    Tuck  Everlasting   is    a  little   of  both  .,disney has always been hit-or-miss when bringing beloved kids  books to the screen . . . tuck everlasting is a little of both .,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]",1,0,1,0,1,0,1
61,Positive,1,1,"the animated subplot keenly depicts the inner struggles of our adolescent heroes - insecure , uncontrolled , and intense ."," The   animated   subplot  keenly    depicts      the   inner  struggles   of   our   adolescent  heroes  -   insecure   ,   uncontrolled    ,  and  intense  .","the animated subplot keenly depicts the inner struggles of our adolescent heroes - insecure , uncontrolled , and intense .","[0, 0, 0, 1, 0, 0, 0, -1, 0, 0, 0, 1, 0, -1, 0, -1, 0, 0, -1, 0]",-1,-1,-1,0,-1,0,-2
62,Positive,1,1,the invincible werner herzog is alive and well and living in la, The   invincible   Werner  Herzog   is    alive   and    well  and  living   in  LA,the invincible werner herzog is alive and well and living in la,"[0, 1, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0]",1,0,1,0,1,0,1
63,Neutral,0,0,"morton is a great actress portraying a complex character , but morvern callar grows less compelling the farther it meanders from its shocking start .","    Morton   is    a   great  actress   portraying   a   complex  character  ,  but    Morvern  Callar   grows    less  compelling    the  farther   it   meanders   from   its   shocking  start  .","morton is a great actress portraying a complex character , but morvern callar grows less compelling the farther it meanders from its shocking start .","[0, 0, 0, 1, 0, 0, 0, -1, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, 0, 0]",-1,-1,-1,1,-1,0,-2
64,Negative,-1,-2,son of the bride may be a good half-hour too_long but comes replete with a flattering sense of mystery and quietness ., Son   of   the  Bride      may   be    a   good  half-hour   too  long  but    comes  replete   with    a   flattering  sense   of    mystery  and  quietness  .,son of the bride may be a good half-hour too_long but comes replete with a flattering sense of mystery and quietness .,"[0, 0, 0, 0, 0, 0, 0, 1, 0, -1, 8, 0, 0, 0, 0, 1, 0, 0, -1, 0, 0, 0]",-1,-1,-1,1,-1,0,-1
65,Positive,1,1,a simmering psychological drama in which the bursts of sudden violence are all the more startling for the slow buildup that has preceded them .,  A   simmering   psychological  drama   in   which     the  bursts   of   sudden  violence   are    all   the  more   startling   for    the   slow  buildup   that   has   preceded  them  .,a simmering psychological drama in which the bursts of sudden violence are all the more startling for the slow buildup that has preceded them .,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, -1, 0, 0, 0, 0, -1, 0, 0, -1, 0, 0, 0, 0, 0, 0]",-1,-1,-1,0,-1,0,-2
66,Positive,1,2,"a taut , intelligent psychological drama .","   A  taut  ,   intelligent   psychological  drama  .","a taut , intelligent psychological drama .","[0, -1, 0, 1, 0, 1, 0]",-1,-1,1,0,-1,0,-1
67,Positive,1,2,"a truly moving experience , and a perfect example of how art -- when note right -- can help heal , clarify , and comfort .","     A    truly  moving  experience  ,  and    a   perfect  example   of   how    art   --    when   done  right  --   can   help  heal  ,      clarify  ,  and  comfort  .","a truly moving experience , and a perfect example of how art -- when note right -- can help heal , clarify , and comfort .","[0, 1, 0, 0, 0, 0, 0, (1, -7), 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 1, 0, 0, 0, 0, 1, 0]",1,0,1,0,1,0,2
68,Positive,1,2,"this delicately observed story , deeply felt and masterfully stylized , is a triumph for its maverick director .","      This  delicately  observed  story  ,    deeply    felt  and  masterfully  stylized  ,    is    a  triumph   for   its   maverick  director  .","this delicately observed story , deeply felt and masterfully stylized , is a triumph for its maverick director .","[0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0]",1,0,1,0,1,0,2
69,Positive,1,2,at heart the movie is a deftly wrought suspense yarn whose richer shadings work as coloring rather than substance ., At  heart    the  movie    is    a   deftly   wrought   suspense  yarn   whose    richer  shadings   work   as   coloring   rather   than  substance  .,at heart the movie is a deftly wrought suspense yarn whose richer shadings work as coloring rather than substance .,"[0, 0, 0, 0, 0, 0, 0, -1, -1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0]",-1,-1,-1,0,-1,0,-2
