,Sentiment,Sentiment Num,Multi,Text,Text-original,Text_with_fullstop,Polarities Found,Polarity Count,Sarcasm?,Adversative Polarity,Adversative Present?,Polarity Count-after Adversative,Emoji Score,Polarity Count-multi
10,Positive,1,2,"good fun , good action , good acting , good dialogue , good pace , good cinematography ."," Good  fun   ,            good  action  ,   good  acting  ,   good  dialogue  ,   good  pace  ,   good  cinematography  .","good fun , good action , good acting , good dialogue , good pace , good cinematography .","[1, 1, 0, 1, 0, 0, 1, 0, 0, 1, 0, 0, 1, 0, 0, 1, 0, 0]",1,0,1,0,1,0,1
11,Neutral,0,0,you should pay nine bucks for this  because you can hear about suffering afghan refugees on the news and still be unaffected .,You    Should     Pay    Nine  Bucks   for  This  :   Because   you   can      hear   about    suffering   Afghan  refugees   on   the  news  and  still   be  unaffected  .,you should pay nine bucks for this  because you can hear about suffering afghan refugees on the news and still be unaffected .,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, (-1, -7), 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]",-1,0,-1,0,-1,0,-1
12,Positive,1,2,dramas like this make it human ., Dramas   like  this    make   it  human  .,dramas like this make it human .,"[0, 1, 0, 0, 0, 0, 0]",1,0,1,0,1,0,1
13,Neutral,0,0,"a thunderous ride at first , quiet cadences of pure finesse are few and far between ; their shortage dilutes the potency of otherwise respectable action .","     A   thunderous  ride   at    first   ,   quiet  cadences   of   pure  finesse    are  few   and   far  between  ;    their  shortage   dilutes    the  potency   of    otherwise  respectable  action  .","a thunderous ride at first , quiet cadences of pure finesse are few and far between ; their shortage dilutes the potency of otherwise respectable action .","[0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, -1, 0, 0, 0, 0, 0, 1, 0, 0]",-1,-1,1,0,-1,0,-2
14,Positive,1,2,"still , this flick is fun , and host to some truly excellent sequences .","Still   ,    this  flick    is     fun  ,  and   host   to   some    truly  excellent  sequences  .","still , this flick is fun , and host to some truly excellent sequences .","[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, (1, -7), 0, 0]",1,0,1,0,1,0,2
15,Positive,1,1,australian actor\/director john polson and award-winning english cinematographer giles nuttgens make a terrific effort at disguising the obvious with energy and innovation .,   Australian   actor\/director   John  Polson  and   award-winning   English   cinematographer   Giles  Nuttgens     make   a   terrific  effort   at    disguising   the  obvious   with    energy  and  innovation  .,australian actor\/director john polson and award-winning english cinematographer giles nuttgens make a terrific effort at disguising the obvious with energy and innovation .,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0]",1,0,1,0,1,0,1
16,Positive,1,1,you walk out of the good girl with mixed emotions -- disapproval of justine combined with a tinge of understanding for her actions .,You        walk  out   of   The   Good  Girl   with   mixed  emotions  --    disapproval   of  Justine   combined   with    a  tinge   of   understanding   for   her  actions  .,you walk out of the good girl with mixed emotions -- disapproval of justine combined with a tinge of understanding for her actions .,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, -1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",-1,-1,-1,0,-1,0,-1
17,Neutral,0,0,post 9\/11 the philosophical message of `` personal freedom first  might not be as palatable as intended .,   Post  9\/11   the   philosophical  message     of  ``   Personal   Freedom  First  ''     might  not   be   as   palatable   as  intended  .,post 9\/11 the philosophical message of `` personal freedom first  might not be as palatable as intended .,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 11, 0, 0, 1, 0, 0, 0]",-1,-1,1,0,-1,0,-1
18,Positive,1,2,absorbing character study by andrã© turpin ., Absorbing  character    study   by   AndrÃ©  Turpin  .,absorbing character study by andrã© turpin .,"[0, 0, 0, 0, 0, 0, 0]",0,0,0,0,0,0,0
19,Positive,1,1,"if you love reading and\/or poetry , then by all means check it out ."," If   you   love   reading   and\/or  poetry   ,    then   by  all    means    check  it  out  .","if you love reading and\/or poetry , then by all means check it out .","[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1,0,1,0,1,0,1
20,Positive,1,2,you will probably love it .,You     'll  probably   love  it  .,you will probably love it .,"[0, 0, 0, 1, 0, 0]",1,0,1,0,1,0,1
21,Positive,1,1,"`` frailty  has been written so well , that even a simple `` goddammit ! ","``   Frailty   ''     has   been     written   so  well  ,    that  even    a  simple   ``  Goddammit  !  ''","`` frailty  has been written so well , that even a simple `` goddammit ! ","[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0]",1,0,1,0,1,0,2
22,Neutral,0,0,near the end takes on a whole other meaning ., near   the  end    takes   on   a   whole   other  meaning  .,near the end takes on a whole other meaning .,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,0,0,0,0,0,0
23,Positive,1,2,"grenier is terrific , bringing an unforced , rapid-fire delivery to toback is heidegger - and nietzsche-referencing dialogue .","Grenier      is  terrific  ,    bringing   an   unforced   ,   rapid-fire  delivery   to       Toback  's  Heidegger  -  and   Nietzsche-referencing  dialogue  .","grenier is terrific , bringing an unforced , rapid-fire delivery to toback is heidegger - and nietzsche-referencing dialogue .","[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1,0,1,0,1,0,1
24,Neutral,0,0,the sundance film festival has become so buzz-obsessed that fans and producers descend upon utah each january to ferret out the next great thing ., The   Sundance   Film  Festival    has    become   so  buzz-obsessed   that     fans  and  producers     descend   upon   Utah  each  January   to    ferret  out   The   Next   Great  Thing  .,the sundance film festival has become so buzz-obsessed that fans and producers descend upon utah each january to ferret out the next great thing .,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]",1,0,1,0,1,0,2
25,Neutral,0,0,"` tadpole  was one of the films so declared this year , but it is really more of the next pretty good thing .","`        Tadpole  '   was   one   of    the  films   so   declared   this  year  ,  but   it   's    really  more   of   The   Next   Pretty   Good  Thing  .","` tadpole  was one of the films so declared this year , but it is really more of the next pretty good thing .","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0]",1,0,1,1,1,0,2
26,Positive,1,2,the actors are fantastic ., The  actors    are  fantastic  .,the actors are fantastic .,"[0, 0, 0, 1, 0]",1,0,1,0,1,0,2
27,Positive,1,1,they are what makes it worth the trip to the theatre .,They    are   what    makes  it   worth    the  trip   to   the  theatre  .,they are what makes it worth the trip to the theatre .,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]",1,0,1,0,1,0,1
28,Positive,1,2,"-lrb- taymor -rrb- utilizes the idea of making kahlo is art a living , breathing part of the movie , often catapulting the artist into her own work ."," -LRB-   Taymor  -RRB-    utilizes    the  idea   of         making    Kahlo  's  art   a  living  ,   breathing   part   of   the  movie  ,  often    catapulting   the  artist   into   her   own  work  .","-lrb- taymor -rrb- utilizes the idea of making kahlo is art a living , breathing part of the movie , often catapulting the artist into her own work .","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,0,0,0,0,0,0
29,Negative,-1,-2,this is not a new idea .,This     is  n't   a   new  idea  .,this is not a new idea .,"[0, 0, 11, 0, 0, 0, 0]",0,0,0,0,0,0,0
30,Positive,1,2,it is been note before but never so vividly or with so much passion .,It    's     been   done   before   but   never   so  vividly  or   with    so  much  passion  .,it is been note before but never so vividly or with so much passion .,"[0, 0, 0, 0, 0, 8, 11, 0, 1, 0, 0, 0, 0, 1, 0]",-1,-1,1,1,1,0,2
31,Positive,1,1,-lrb- `` take care of my cat  -rrb- is an honestly nice little film that takes us on an examination of young adult life in urban south korea through the hearts and minds of the five principals ., -LRB-   ``    Take   Care   of   My   Cat  ''  -RRB-    is    an    honestly  nice   little  film   that     takes  us   on    an  examination   of    young   adult  life   in   urban   South  Korea   through    the  hearts  and  minds   of   the   five  principals  .,-lrb- `` take care of my cat  -rrb- is an honestly nice little film that takes us on an examination of young adult life in urban south korea through the hearts and minds of the five principals .,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1,0,1,0,1,0,1
32,Neutral,0,0,"it is not life-affirming -- its vulgar and mean , but i liked it .","It 's   not  life-affirming  --   its  vulgar  and  mean  ,  but   I   liked  it  .","it is not life-affirming -- its vulgar and mean , but i liked it .","[0, 0, 11, 0, 0, 0, -1, 0, 0, 0, 8, 0, 1, 0, 0]",-1,-1,1,1,1,0,1
33,Positive,1,1,what `` empire  lacks in depth it makes up for with its heart ., What   ``   Empire   ''   lacks   in  depth   it     makes  up   for   with   its  heart  .,what `` empire  lacks in depth it makes up for with its heart .,"[0, 0, 0, -1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",-1,0,-1,0,-1,0,-1
34,Positive,1,2,"light , silly , photographed with colour and depth , and rather a good time .","   Light  ,  silly  ,    photographed   with        colour  and  depth  ,  and  rather   a   good  time  .","light , silly , photographed with colour and depth , and rather a good time .","[0, 0, -1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]",-1,-1,-1,0,-1,0,-1
35,Positive,1,1,but tongue-in-cheek preposterousness has always been part of for the most part wilde is droll whimsy helps `` being earnest  overcome its weaknesses and parker is creativeinterference . . .,But    tongue-in-cheek  preposterousness     has  always   been   part   of      For   the   most  part     Wilde  's   droll  whimsy   helps   ``    Being  Earnest   ''   overcome   its  weaknesses  and    Parker  's   creativeinterference  ...,but tongue-in-cheek preposterousness has always been part of for the most part wilde is droll whimsy helps `` being earnest  overcome its weaknesses and parker is creativeinterference . . .,"[8, 0, -1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, 1, 0, 0, 1, 0, 0, -1, 0, 0, 0, 0, 0, 0, 0]",-1,-1,-1,1,-1,0,-1
36,Positive,1,1,much of the movie is charm lies in the utter cuteness of stuart and margolo ., Much   of    the   movie  's  charm    lies   in    the   utter  cuteness   of    Stuart  and  Margolo  .,much of the movie is charm lies in the utter cuteness of stuart and margolo .,"[0, 0, 0, 0, 0, 1, -1, 0, 0, 0, 1, 0, 0, 0, 0, 0]",-1,-1,1,0,-1,0,-2
37,Positive,1,1,their computer-animated faces are very expressive ., Their   computer-animated  faces    are   very  expressive  .,their computer-animated faces are very expressive .,"[0, 0, 0, 0, 0, 0, 0]",0,0,0,0,0,0,0
38,Neutral,0,0,"the path ice age follows most closely , though , is the one established by warner bros . giant chuck jones , who died a matter of weeks before the movie isrelease .","  The  path    Ice  Age   follows   most  closely   ,   though   ,    is    the  one   established   by     Warner   Bros.   giant   Chuck  Jones  ,   who    died    a  matter   of  weeks   before    the   movie 'srelease  .","the path ice age follows most closely , though , is the one established by warner bros . giant chuck jones , who died a matter of weeks before the movie isrelease .","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",-1,0,-1,0,-1,0,-2
39,Positive,1,1,,#NAME?,,[0],-1,0,0,0,-1,0,-2
40,Positive,1,1,there is an energy to y tu mamã¡ tambiã©n .,There    's    an  energy   to   Y   Tu   MamÃ¡  TambiÃ©n  .,there is an energy to y tu mamã¡ tambiã©n .,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0]",1,0,1,0,1,0,1
41,Positive,1,2,"much of it comes from the brave , uninhibited performances by its lead actors ."," Much   of  it     comes   from   the    brave   ,  uninhibited  performances   by   its   lead  actors  .","much of it comes from the brave , uninhibited performances by its lead actors .","[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0]",1,0,1,0,1,0,2
42,Neutral,0,0,"`` 13 conversations  holds its goodwill close , but is relatively slow to come to the point .","``    13  Conversations   ''       holds   its   goodwill  close  ,  but   is   relatively   slow   to   come   to   the  point  .","`` 13 conversations  holds its goodwill close , but is relatively slow to come to the point .","[0, 0, 0, 0, 0, 1, 0, 0, 8, 0, 0, -1, 0, 0, 0, 0, 0, 0]",-1,-1,-1,1,-1,0,-1
43,Positive,1,1,`` auto focus  works as an unusual biopic and document of male swingers in the playboy era, ``   Auto   Focus  ''   works   as    an   unusual    biopic  and  document   of    male  swingers   in   the   Playboy  era,`` auto focus  works as an unusual biopic and document of male swingers in the playboy era,"[0, 0, 0, 0, 0, 0, -1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",-1,0,-1,0,-1,0,-1
44,Neutral,0,0,"if mr . zhang is subject matter is , to some degree at least , quintessentially american , his approach to storytelling might be called iranian ."," If     Mr.   Zhang  's   subject  matter       is  ,   to   some  degree   at  least  ,   quintessentially  American   ,     his  approach   to  storytelling    might   be   called  Iranian  .","if mr . zhang is subject matter is , to some degree at least , quintessentially american , his approach to storytelling might be called iranian .","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,0,0,0,0,0,0
45,Negative,-1,-1, . . . a sour little movie at its core ; an exploration of the emptiness that underlay the relentless gaiety of the 1920 is . . . the film is ending has a`` what was it all for ? ,      ...    a   sour   little  movie   at     its  core  ;     an  exploration   of   the  emptiness   that   underlay   the   relentless  gaiety   of   the  1920  's  ...     The   film  's  ending   has a`` What    was  it   all  for  ?  '', . . . a sour little movie at its core ; an exploration of the emptiness that underlay the relentless gaiety of the 1920 is . . . the film is ending has a`` what was it all for ? ,"[0, 0, 0, 0, -1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, 0, 0, 0, -1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",-1,-1,-1,0,-1,0,-2
46,Positive,1,1,"feeling to it , but like the 1920 is , the trip there is a great deal of fun ."," feeling    to  it    ,  but   like   the   1920  's   ,    the  trip   there    is    a   great  deal   of  fun  .","feeling to it , but like the 1920 is , the trip there is a great deal of fun .","[0, 0, 0, 0, 8, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0]",1,0,1,1,1,0,2
47,Positive,1,1,`` cremaster 3  should come with the warning `` for serious film buffs only ! ,``    Cremaster  3   ''     should      come   with   the  warning  ``   For   serious   film  buffs  only  !  '',`` cremaster 3  should come with the warning `` for serious film buffs only ! ,"[0, 0, 0, 0, 0, 0, 0, -1, 0, 0, -1, 0, 0, 0, 0]",-1,0,-1,0,-1,0,-1
48,Negative,-1,-2,made me unintentionally famous -- as the queasy-stomached critic who staggered from the theater and blacked out in the lobby .,    Made  me   unintentionally  famous  --   as    the   queasy-stomached  critic   who     staggered   from   the  theater  and    blacked  out   in   the  lobby  .,made me unintentionally famous -- as the queasy-stomached critic who staggered from the theater and blacked out in the lobby .,"[0, 0, 0, 1, 0, 0, 0, 0, -1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",-1,-1,-1,0,-1,0,-1
49,Positive,1,2,"but believe it or not , it is one of the most beautiful , evocative works i have seen ."," But     believe  it  or  not   ,   it    's   one   of    the    most   beautiful   ,  evocative  works   I   've  seen  .","but believe it or not , it is one of the most beautiful , evocative works i have seen .","[8, 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0]",-1,-1,1,1,1,0,2
50,Positive,1,1,"garcã­a bernal and talancã³n are an immensely appealing couple , and even though their story is predictable , you will want things to work out .","     GarcÃ­a    Bernal  and  TalancÃ³n   are   an    immensely  appealing  couple  ,  and    even   though    their  story   is  predictable   ,   you   'll   want   things   to   work  out  .","garcã­a bernal and talancã³n are an immensely appealing couple , and even though their story is predictable , you will want things to work out .","[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, -8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1,0,1,1,1,0,2
51,Positive,1,2," . . . a spoof comedy that carries its share of laughs -- sometimes a chuckle , sometimes a guffaw and , to my great pleasure , the occasional belly laugh .","...     a   spoof  comedy   that   carries    its  share   of         laughs  --   sometimes   a  chuckle  ,   sometimes   a  guffaw  and   ,    to   my   great  pleasure  ,   the   occasional   belly  laugh  ."," . . . a spoof comedy that carries its share of laughs -- sometimes a chuckle , sometimes a guffaw and , to my great pleasure , the occasional belly laugh .","[0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, (1, -7), 0]",1,0,1,0,1,0,2
52,Positive,1,1,"-lrb- city -rrb- reminds us how realistically nuanced a robert de niro performance can be when he is not more lucratively engaged in the shameless self-caricature of ` analyze this  -lrb- 1999 -rrb- and ` analyze that ,  promised -lrb- or threatened -rrb- for later this year ."," -LRB-   City  -RRB-     reminds  us   how   realistically   nuanced    a   Robert   De   Niro  performance   can   be   when   he     is  not  more   lucratively   engaged   in      the   shameless  self-caricature   of   ` Analyze This  '   -LRB-   1999  -RRB-  and   `      Analyze  That  ,  '     promised     -LRB-  or  threatened  -RRB-  for   later   this  year  .","-lrb- city -rrb- reminds us how realistically nuanced a robert de niro performance can be when he is not more lucratively engaged in the shameless self-caricature of ` analyze this  -lrb- 1999 -rrb- and ` analyze that ,  promised -lrb- or threatened -rrb- for later this year .","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 0, 0, 1, 0, 0, -1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, -1, 0, 0, 0, 0, 0, 0]",-1,-1,-1,0,-1,0,-2
53,Positive,1,2,the wanton slipperiness of \* corpus and its amiable jerking and reshaping of physical time and space would make it a great piece to watch with kids and use tointroduce video as art .,  The   wanton  slipperiness   of       \*  Corpus  and   its   amiable  jerking  and   reshaping   of   physical    time  and  space    would    make  it   a   great   piece   to     watch   with  kids  and   use tointroduce video   as  art  .,the wanton slipperiness of \* corpus and its amiable jerking and reshaping of physical time and space would make it a great piece to watch with kids and use tointroduce video as art .,"[0, -1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",-1,-1,1,0,-1,0,-2
54,Positive,1,2,"`` frailty  starts out like a typical bible killer story , but it turns out to be significantly different -lrb- and better -rrb- than most films with this theme .","    ``   Frailty   ''    starts  out   like   a   typical   Bible   killer  story  ,  but   it    turns  out   to    be    significantly   different     -LRB-  and  better  -RRB-   than   most  films   with   this  theme .","`` frailty  starts out like a typical bible killer story , but it turns out to be significantly different -lrb- and better -rrb- than most films with this theme .","[0, 0, 0, 0, 1, 0, 0, 0, -1, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0]",-1,-1,1,1,1,0,2
55,Positive,1,2,"for those who pride themselves on sophisticated , discerning taste , this might not seem like the proper cup of tea , however it is almost guaranteed that eventhestuffiest cinema goers will laugh their \*\*\* off for an hour-and-a-half ."," For   those   who    pride  themselves   on   sophisticated   ,   discerning  taste   ,       this    might  not   seem   like    the   proper  cup   of  tea  ,  however   it   is    almost  guaranteed   that   eventhestuffiest   cinema  goers   will     laugh   their  \*\*\*  off   for   an  hour-and-a-half  .","for those who pride themselves on sophisticated , discerning taste , this might not seem like the proper cup of tea , however it is almost guaranteed that eventhestuffiest cinema goers will laugh their \*\*\* off for an hour-and-a-half .","[0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 11, 0, 0, 0, 1, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, (1, -7), 0, 0, 0, 0, 0, 0, 0]",-1,-1,1,1,1,0,1
56,Positive,1,2,"it cuts to the core of what it actually means to face your fears , to be a girl in a world of boys , to be a boy truly in love with .0833333333333333 girl , and to ride the big metaphorical wave that is life -- wherever it takes you .","It    cuts         to    the  core   of   what   it   actually   means   to   face   your  fears   ,   to   be    a  girl   in    a  world   of  boys  ,   to    be   a  boy   truly   in   love with.0833333333333333 girl  ,  and   to   ride    the   big   metaphorical  wave   that     is  life  --   wherever   it   takes  you  .","it cuts to the core of what it actually means to face your fears , to be a girl in a world of boys , to be a boy truly in love with .0833333333333333 girl , and to ride the big metaphorical wave that is life -- wherever it takes you .","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",-1,-1,1,0,-1,0,-2
57,Positive,1,1,"a welcome relief from baseball movies that try too hard to be mythic , this one is a sweet and modest and ultimately winning story .","  A   welcome  relief   from    baseball  movies   that   try   too   hard   to   be  mythic   ,    this  one    is     a    sweet  and  modest  and   ultimately   winning  story  .","a welcome relief from baseball movies that try too hard to be mythic , this one is a sweet and modest and ultimately winning story .","[0, 1, 0, 0, 0, 0, 0, 0, -1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 1, 0, 0]",-1,-1,1,0,-1,0,-2
58,Positive,1,1,a crisp psychological drama -lrb- and -rrb- a fascinating little thriller that slightly negative been perfect for an old `` twilight zone  episode .,   A   crisp   psychological  drama   -LRB-   and  -RRB-    a   fascinating   little  thriller   that   would   have    been  perfect   for   an   old   ``   Twilight   Zone   ''  episode  .,a crisp psychological drama -lrb- and -rrb- a fascinating little thriller that slightly negative been perfect for an old `` twilight zone  episode .,"[0, 1, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, -1, 0, (1, -7), 0, 0, 0, 0, 0, 0, 0, 0]",-1,-1,1,0,-1,0,-1
